登記案號,序號,分事務所地址,網站連結
098法登他000061,1,彰化縣彰化市中華路176號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/iXzQbLaTm3emBBhL_mU3VqRvIqv_Rg7u7OFCQuPH5V2M4uJDLM0z_oh93Wk=
098法登他000061,2,彰化縣二林鎮大成路一段558號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/wygjVuJ211ElPOQAKzt1_Wc-hIkiNEiUFqjMRto1IpCAQ5ZGRV0UbJ3dJ9Y=
098法登他000061,3,彰化縣鹿港鎮中正路480號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/2si7smn6v_UhkTqzcu5ctW5qkei22jCecxL1XviGUUnJs7uxcMPvOe1y1T4=
098法登他000061,4,彰化縣鹿港鎮鹿東路二段888號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/T6_X0L4TGxK3m-_g6JeohBMIx9pm86SSrepWeoyEiu5L5DW6qD2gKT_CiO8=
098法登他000061,5,雲林縣西螺鎮新豐里市場南路375號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/RTzH4UMlVHDqS37ZxImoPd6RT7cOUgX1FWBYYBAzPnbu7ZpObqaDDXu0Mn0=
098法登他000071,1,彰化縣彰化市中正路一段二二六巷二弄七四號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Jfj4sessaPHVTGLHnrgiXF87PatDfrnbeXQOJZUhKBwTGi00yC5r_jnsoA==
098法登他000075,1,"彰化伯特利教會  設彰化縣彰化市介壽新村103號",https://aomp109.judicial.gov.tw/judbp/whd6k/q/pDaKPztKGmVxriqeqdh-SpUd89-3cetfLHLasMtXkYbVFCH1MQDDq_A6aA==
098法登他000075,2,"彰化蒙恩堂      設彰化縣彰化市中山路二段382巷17號",https://aomp109.judicial.gov.tw/judbp/whd6k/q/mjRPtM045_r-qpVd_-bKukguqGeOL8xDDljHwbuKQpoe7dgBodz_dPOr8Q==
098法登他000075,3,"新竹蒙恩堂      設新竹市西門街295號",https://aomp109.judicial.gov.tw/judbp/whd6k/q/ZMlAZUzm3ZyEAfRQ5Uhr1KrkGi06AP7hrHxQU_HTjlfE1xgqGmzVl5Q2gw==
098法登他000075,4,"新竹福音堂      設新竹市延平路一段501號",https://aomp109.judicial.gov.tw/judbp/whd6k/q/MGBIpezNftjkgD37S2bfT2Wk6WK3iKe2s-hIbQZvxbK2KbRgpmgNuRgccQ==
098法登他000075,5,財團法人基督教中華協力會附設新竹市私立伯大老人養護中心　設新竹市延平路一段491號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/lTBpg07RTCxXx4RswUuyMWp2IoL1dGy58ThXqbgdYBC_EHSP6FAJEEbW-g==
098法登他000076,1,彰化縣鹿港鎮景福里景福巷30之5號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Nio429FjWbrjiOEe-lXeMJgbBaijkpZaG7oAHXWGOPHw_j9q-S_yeN2rZY4=
098法登他000083,1,彰化縣和美鎮彰美路五段一六○號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/e8IY7vOBfodhdguBAPmBIIJk7CtaoNMqEA775s5GkYTQt1TigIb0fTrMPSk=
098法登他000086,1,彰化縣和美鎮新庄里7鄰東發路190號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/uNSgmu6poMKFfsmpHktg1-8x4fPsPCkBxTDmQcKMLf-j4CEpMKHHORIgGM4=
098法登他000102,1,台北市中山區長春路一三七巷十號三樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/PGWcUncRj7mGfJ3oG6vpinbm9259kd7rjjOyR6Y9BC-PSE6Ou-5x70VEkw==
