登記案號,序號,分事務所地址
093法登財000004,1,高雄市三民區九如二路五八三號十一樓
093法登財000004,2,桃園縣中壢市環西路八三號
093法登財000004,3,新竹市光華二街七二巷二五弄七號
093法登財000004,4,宜蘭縣三星鄉大洲路四七巷之十一號
093法登財000004,5,花蓮縣花蓮市康樂街六號
093法登財000004,6,台北市光復北路六十巷十九之六號地下樓
093法登財000004,7,台北縣三峽鎮國光街十二巷十號一樓
093法登財000004,8,台中縣大里市內新街四五號
093法登財000004,9,高雄縣鳳山市國富路五十號
093法登財000004,10,嘉義市垂楊路五八○號二樓
093法登財000004,11,嘉義縣竹崎鄉鹿滿村鹿山路六十號
093法登財000004,12,台南縣東山鄉東山村中興路一七五號
093法登財000004,13,苗栗縣苗栗市嘉新里經國路四段八五一號二樓
093法登財000004,14,南投縣南投市平山里平山一路二街一二一號
093法登財000004,15,彰化縣彰化市太平街十號
093法登財000004,16,雲林縣斗六市雲林路二段五一五號
093法登財000004,17,屏東縣東港鎮中正路一段十之一號
093法登財000004,18,台東縣台東市長沙街二二四號
