登記案號,序號,分事務所地址
108法登他000026,1,台北市信義區信義路四段415號6樓
108法登他000026,2,新竹縣竹北市中泰路53號
108法登他000066,1,前鎮分事務所:高雄市前鎮區瑞吉街77號
108法登他000066,2,鳳山分事務所:高雄市鳳山區博愛路51巷1號
108法登他000066,3,大寮分事務所:高雄市大寮區內厝393號
108法登他000066,4,永愛分事務所:屏東市豐榮街185巷10號
108法登他000066,5,小港分事務所:高雄市小港區廠前路43號
108法登他000066,6,黎明分事務所:屏東縣內埔鄉黎明村黎東路839號
108法登他000066,7,頌恩分事務所:屏東縣枋寮鄉金城路86巷9號
108法登他000066,8,鼓山分事務所:高雄市鼓山區鼓山二路36號
108法登他000066,9,活泉分事務所:高雄市橋頭區甲圍路99之1號
108法登他000218,1,高雄市苓雅區三多二路219號(分事務所負責人蘇喜德)
108法登他000344,1,台北市信義區信義路四段415號6樓
108法登他000344,2,新竹縣竹北市中泰路53號
108法登財000004,1,高雄市前金區六合二路281號(負責人:鄭恩賜)
