登記案號,序號,職稱,姓名,網站連結
108法登他000001,1,董事長,邱詩閔,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Ji7Dd1pLqPTyr_uff0zmmeVaNCfDtBSWgH0c5KpjkRj6X8GgelYeI_sk7w==
108法登他000001,2,董　事,邱益壽,https://aomp109.judicial.gov.tw/judbp/whd6k/q/XhKYV033KiWAglOvUZ_xGrzxXnjPOy6xvcKYwS-00y1RKUV8b02bsVBGQw==
108法登他000001,3,董　事,吳國政,https://aomp109.judicial.gov.tw/judbp/whd6k/q/dwers-yuZDSVdABJruFjcSRmy51BHULmgikCwMivRK7nETNQfihywcf9-g==
108法登他000001,4,董　事,邱延壽,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ofdeypeDDhJwOw69QIpMg5gtYMBA5TphgGnxR5C_sCLiAZ0agaD4RA-CcA==
108法登他000001,5,董　事,廖明山,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ykyIWMLKjH8amFNbiGuENNErvxyxhpU7zKC7ym7kr-sOdKZtxLs-9uCDbw==
108法登他000001,6,董　事,陳美粧,https://aomp109.judicial.gov.tw/judbp/whd6k/q/1KXIE9e15mWC_kkfTgkc1RM8g0ZSX2SDYhFeS6i5IDNyWyiC4on-nJKkag==
108法登他000001,7,董　事,張明誌,https://aomp109.judicial.gov.tw/judbp/whd6k/q/sCPsbYLYXAJE2I3XNUozGeGZYWENFPfPJUW0Xfsc30sAdi6zq6B76zXw3Q==
108法登他000001,8,董　事,賀以玲,https://aomp109.judicial.gov.tw/judbp/whd6k/q/qaSXHoUPiaQDQh4fb4cF_Yev3hJbjCEHaY7EAKeuZqOXoCUpkSpVekO8qw==
108法登他000001,9,董　事,楊乾中,https://aomp109.judicial.gov.tw/judbp/whd6k/q/7muBhwYeOyHUKoBtxb-zzMqzZgrJ8TkRVylo7RwIyQCHHnvYgIeUkFuqxg==
108法登他000001,10,董　事,鄭慶成,https://aomp109.judicial.gov.tw/judbp/whd6k/q/_FWkub0swY85MeTagF9ocYr9C5pwq3bRGf7LNJZeG2ZB4cIvkVg1GSGvMg==
108法登他000001,11,董　事,林在福,https://aomp109.judicial.gov.tw/judbp/whd6k/q/wJgzPM7UEVlsK6WSqR1LLXN-by1DrNPYgfAIp1ioZ0T1a0eV2pUWfkW2aA==
108法登他000001,12,董　事,李明毅,https://aomp109.judicial.gov.tw/judbp/whd6k/q/vqPI6oJ_zC1dT_kfN00_IcXYj0bd_yWg6oW-yQEPzOmNJZcjhgIb6NPHsg==
108法登他000001,13,董　事,錢懷國,https://aomp109.judicial.gov.tw/judbp/whd6k/q/gUyXnt6hjAIK4eoIghE4hnikrZIf-iRvySA6O9dmRqM8zqoRRQ4wPo49gw==
108法登他000001,14,監察人,周文通,https://aomp109.judicial.gov.tw/judbp/whd6k/q/YBkCa0iN5oWcZstbvTr4LE2low-7vWU1GAaHwrFY_Iv1UK3ol_gKUKUorA==
108法登他000002,1,理　事,余信興,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Y_MzC4P07XfrDKOugdQu5J1oHZmWZn16yoXavcVCP_TOcQC4jC_OL9Z2F6U=
108法登他000002,2,理　事,王格非,https://aomp109.judicial.gov.tw/judbp/whd6k/q/yjdahf5CDOHjM8AXCL6SmXHL-mxpHjqHU-lJheFAnUyD3NuovLnZdP301-s=
108法登他000002,4,監　事,李曲原,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ZyTZU6ueSJDNpYAMxth9CmS_IlyKN0y6O9hO6zwtQORYJsagi2o3Svbye1I=
108法登他000002,5,監　事,李東霖,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Q8CM2moz8veUpgMxtbjcotyL-JIaqNT7vHRXhqJhXXdedCuYLKt3M7iT1DA=
108法登他000002,6,理事長,林威宇,https://aomp109.judicial.gov.tw/judbp/whd6k/q/4HuVDqzDF_lhUe6bbpKdTpilAYyG1xY7LfsoU5groBjqC1OxCUmAqZNtgOY=
108法登他000002,7,理　事,朱連春,https://aomp109.judicial.gov.tw/judbp/whd6k/q/QATFqHRh8p3jED7tUnk4miPVchQqR6RK2pk4SMxhM4p-gMYXxi_kJSsuWlY=
108法登他000002,8,理　事,周玉寶,https://aomp109.judicial.gov.tw/judbp/whd6k/q/PsO7mRWstnBp08PJSClpw-s1zON6M7OhPhBQ0MlE-bwgucp6h5ZFlYXbmkU=
108法登他000002,9,監　事,高勝海,https://aomp109.judicial.gov.tw/judbp/whd6k/q/CeP20t3Hgv7-Uhpvt73Q71GsdGWgKN-pQgotky1kD3NiBPA92FIdUxCCt48=
108法登他000002,10,理　事,李秋旺,https://aomp109.judicial.gov.tw/judbp/whd6k/q/wMgPrph6wHLoVXZZMMAU4A50IL-py-LU6BagcpKruto1PlkT4yywBxBxdbs=
108法登他000002,11,理　事,曾顯亮,https://aomp109.judicial.gov.tw/judbp/whd6k/q/eO-5LbYQXY9HrGlTuH3ZqA78j5fXp13IxX7cudhwKM18RoXcVbqBkOit8lk=
108法登他000002,12,理　事,黃秋來,https://aomp109.judicial.gov.tw/judbp/whd6k/q/L1KD4WofjKJeofPV7dXC4oC9E7qdOE6Gj2xxjlMbhYltNHotXnQa1R2fPos=
108法登他000002,13,常務監事,楊曜銘,https://aomp109.judicial.gov.tw/judbp/whd6k/q/sfrYzq8nul2Dte2OB0-YRpKnOZxIlkZ_PITqNwXNGm_sClyqSIs5uIxpKAw=
108法登他000002,14,理　事,黃偉銘,https://aomp109.judicial.gov.tw/judbp/whd6k/q/-jhbT7PtNW92RWysG0ys7pejkBdi9HEu-NH9bsYGjUcyCHGGN1EyzJzVx6U=
