登記案號,序號,分事務所地址
108法登他000059,1,桃園縣中壢市新生路一六五號
108法登他000059,2,桃園縣中壢市育英路七十七號
108法登他000111,3,分事務所：桃園市中壢區合江路18之1號
108法登他000189,1,桃園市中壢區台貿一街12號
108法登他000211,1,台北市大安區敦化南路二段76號24樓之2
108法登他000239,1,桃園市龜山區文興路61號10樓
108法登他000239,2,台北市內湖區東湖路141之1號3樓
108法登他000284,3,分事務所：桃園市中壢區合江路18之1號
108法登他000318,1,台北市中山區合江街188巷22號3樓
108法登他000324,1,高雄市岡山區河華路88號
108法登財000003,1,台中市西區自由路一段140號4樓
108法登財000003,2,高雄市前金區六合二路281號
108法登財000003,3,台南市中西區府前路一段155號之1
108法登財000003,4,桃園市桃園區中正路48巷2號
108法登財000003,5,新竹市林森路29號4樓
108法登財000003,6,苗栗縣苗栗市中正路510號3樓
108法登財000003,7,南投縣南投市復興路101號3樓
108法登財000003,8,雲林縣斗六市文化路27號3樓
108法登財000003,9,嘉義市中山路306號5樓
108法登財000003,10,屏東縣屏東市中山路43號3樓
108法登財000003,11,宜蘭縣宜蘭市舊城南路50號3樓
108法登財000003,12,花蓮縣花蓮市公園路3號3樓
108法登財000003,13,台東縣台東市中華路一段373號3樓
108法登財000003,14,澎湖縣馬公市仁愛路24號2樓
