登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
097法登他000001,1,2,吳三龍,151,0970102,0970125,0970126,6冊25頁,1,5,黃俊豪,財團法人民雄鄉國教發展基金會,0821211,嘉義縣民雄鄉西安路147號,協助民雄鄉各國民中小學充分運用社會資源，改善學校環境，發展校務，奬勵學校教師研究進修，推展文教活動，促進學生敦品勵學,由熱心教育人士捐助,嘉義縣政府，八十二年十一月廿二日（八二）府教社字一二一六八四號,永久性,3215000.00,1,0970125,0970507,0970204,,,,,,
097法登他000002,1,2,吳三龍,61,0970103,0970107,0970108,3冊37頁,2,11,吳終源,財團法人台灣省嘉義市立仁高級中學,0620319,嘉義市立仁路二三五號,配合國家教育政策暨有關教育法令之規定，辦理高級中學，推廣教育以培養人才，提昇國民教育水準為目的。,天主教聖愛會捐贈,台灣省政府教育廳　民國六十二年二月,無期限,194453496.00,1,0970107,0970507,0970123,,,,,,
097法登他000003,1,2,吳三龍,258,0970114,0970219,0970220,10冊23頁,2,3,鄧慶田,財團法人嘉義天玄宮,0881206,嘉義市東區新開里體育路十一號,本道教精神，傳揚道教教義及辦理社會公益慈善事業。,由嘉義天玄宮捐助及募捐。,嘉義市政府　八十八年十一月十八日,永久,43728000.00,1,0970219,0970507,0970305,,捐助及組織章程變更依據臺灣嘉義地方法院民事裁定94年度法字第5號及94年6月7日民事裁定確定證明書各一件。,,,,
097法登他000004,1,2,吳三龍,36,0970114,0970121,0970122,2冊6頁,1,11,李天欣,財團法人吳鳳技術學院,0540814,嘉義縣民雄鄉建國路2段117號,創辦吳鳳技術學院並謀求其發展。,由創辦人彭文鴻捐資,教育部民國五十四年七月廿四日五四專字第一一三七九號令核准,永久,3334472139.00,1,0970121,0970507,0970213,,,,,,
097法登他000005,1,2,吳三龍,130,0970117,0970129,0970130,6冊4頁,2,6,星　雲,財團法人南華大學,0791011,嘉義縣大林鎮中坑里中坑三十二號,遵照國家教育政策暨現行教育法令之規定，辦理南華大學，並謀其健全發展。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,由李哲朗等十五人捐助,教育部78.12.19台78高字第62820號、88.10.08台88高三字第88116115號,永久,3203518441.00,1,0970129,0970507,0970222,,,,,,
097法登他000006,1,2,吳三龍,225,0970121,0970128,0970129,9冊19頁,2,4,"華 淑 芳",財團法人天主教聖馬爾定醫院,0870909,嘉義市東區短竹里大雅路2段565號,以宏揚基督博愛之精神，推行醫療保健服務，並促進社會公益。,由「財團法人台灣省嘉義市天主教會嘉義教區中華聖母會」捐助成立。,"行政院衛生署 八十六年十一月三日衛署醫字第86063473號",永久,489000000.00,1,0970128,0970507,0970212,,,,,,
097法登他000007,1,2,吳三龍,324,0970121,0970128,0970129,12冊35頁,1,2,葉松海,財團法人嘉義縣私立開元殿福松老人養護中心,0930426,嘉義縣溪口鄉柴林村六五之二號,依老人福利及相關法規，以對老人提供服務與福利為宗旨。,(如章程之捐助方法),"嘉義縣政府 九十三年三月三十日 府社福字第0930043488號",永久,27255620.00,1,0970128,0970507,0970212,,,,,,
097法登他000008,1,2,吳三龍,56,0970123,0970219,0970220,3冊27頁,2,13,何明宗,財團法人嘉義縣私立協志高級中學,0600514,嘉義縣民雄鄉東榮村建國路2段285巷11號,創辦私立協志高級中學並謀發展。,由創辦人何明宗等捐助。,臺灣省政府教育廳，民國六十年四月二十九日,永久,886272751.00,1,0970219,0970507,0970222,,,,,,
097法登他000009,1,2,吳三龍,168,0970123,0970129,0970130,7冊43頁,2,5,余傳韜,財團法人清誠教育事務基金會,0840912,嘉義市東區鹿寮里學府路300號,發揚中華文化，堅定民族信仰，提高國民道德，改善世道人心，端正社會風氣，并建立國人良好生活方式為宗旨。,由陳幸、林天福各捐助新台幣壹佰萬元正。,嘉義市政府，八十四年八月十一日八四府教社字第五六四一一號函,永久,6010135.00,1,0970129,0970507,0970205,,,,,,
097法登他000010,1,2,吳三龍,58,0970125,0970225,0970226,3冊31頁,1,11,張國泉,財團法人臺灣省嘉義縣私立萬能高級工商職業學校,0610511,嘉義縣水上鄉萬能路一號,以創辦私立萬能高級工商職業學校並謀發展為目的。,以董事會捐集所得捐助,"台灣省政府教育廳  民國六十一年四月二六日",無限期,454277588.00,1,0970225,0970507,0970311,,,,,,
