登記案號,序號,職稱,姓名,網站連結
087法登他000001,1,董事長,王紹堉,https://aomp109.judicial.gov.tw/judbp/whd6k/q/yoaB6SNeQDytFg89lzBrUpR5YxoABvoMEo6DJiR8sMVQt3wlyQGHC0HrYkK1exE=
087法登他000001,2,"董  事",方文長,https://aomp109.judicial.gov.tw/judbp/whd6k/q/PGORyi9ixgGGaYfbwkl3atxYz9Yvi-Ih1zS15eF8Gu9JrGb_ZJ0KRdCYZVQvWF8=
087法登他000001,3,"董  事",吳東進,https://aomp109.judicial.gov.tw/judbp/whd6k/q/KFq3VYeyiZvOuH1-97-3rAmYWEpHM3-67m5yUIBoSZqQXBmUAyPc-1mkHdLeEu8=
087法登他000001,4,"董  事",吳舜文,https://aomp109.judicial.gov.tw/judbp/whd6k/q/uCILh5Q40L8v2mGoRzhigl8zshR8mPFOfH6UrdYxiQyN3TdW4ubuRoC_8JtfvNQ=
087法登他000001,5,"董  事",何壽川,https://aomp109.judicial.gov.tw/judbp/whd6k/q/2IvfeMjpBAd0cfM2xPU-yaM2JXIaZnLcDWqNsBmJ0GxFsu3s9oopU-1-MHi6R9A=
087法登他000001,6,"董  事",唐松章,https://aomp109.judicial.gov.tw/judbp/whd6k/q/4cJxFX4WAikD1omNYz7Oy5bMcBr15F4d_jLbqf2mw2KIM2EM-8HGndWdQoUpeew=
087法登他000001,7,"董  事",楊民皓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/3SnBZSUAxSJRtVSTFiSrqD_Z-RxJIDrOXB2It7--MBdLWsUvTe49RA_ZYSO4mNA=
087法登他000001,8,"董  事",蔡萬霖,https://aomp109.judicial.gov.tw/judbp/whd6k/q/KzDxHeWISsNyzbIsQsURxC_YzTn5TyCxBH3hHoUCN3VNkthjcrlu0B0Y_7OvfjU=
087法登他000001,9,"董  事",陸潤康,https://aomp109.judicial.gov.tw/judbp/whd6k/q/whPUezTVfHKQxCAlketxMAawT2PQ7Q_MI_hOGB-M_fkNqEr2rShjQKHGjyUSxPc=
087法登他000001,10,"董  事",張清治,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Wwe7y-OOmJZ6hYyexQoyvyfjm37j5XH33XJU8noA8bEI7GiQ9YcpslE0QLWG_u4=
087法登他000001,11,"董  事",辜濂松,https://aomp109.judicial.gov.tw/judbp/whd6k/q/TP_VB4G_vDn_jFCuwGyxCyn8atvLrVWajTGF9SgJmty3EpWXy2nrTESUNWAHNBA=
087法登他000001,12,"董  事",游象卿,https://aomp109.judicial.gov.tw/judbp/whd6k/q/XkBmxO92ROknPrG2I3AlQLl3wLp5O0-UQKDkxw7b9ZpgQJncOtZ6Mj_ed0izF-8=
087法登他000001,13,"董  事",簡鴻基,https://aomp109.judicial.gov.tw/judbp/whd6k/q/FOqsN3EtWEnEhheArHRdADW572A64l1QbtngTctVyFaG5r5pMAMUQ0dMHi753aw=
087法登他000001,14,"董  事","李  模",https://aomp109.judicial.gov.tw/judbp/whd6k/q/EAbT6wR2xRNBotYEcQvkcSO2PJ_FdIYhgtR0myYTvfVBL2cLOJeGyJUZdxplTgY=
087法登他000001,15,"董  事",李鍾桂,https://aomp109.judicial.gov.tw/judbp/whd6k/q/rFnP5oUBQLstLKH5SlHO3JCHPrXm0FeUyw9-FVuh71BpZroG-fKnyP8H58MVQr0=
