登記案號,序號,分事務所地址
111法登他000031,1,台南市安南區安和路６段１２６巷５６號
111法登他000032,1,臺南市新市區永新路78號（新市分院）
111法登他000061,1,台中市大里區仁愛路175巷88號
111法登他000061,2,嘉義縣新港鄉潭大村潭子墘26之12號一樓
111法登他000088,2,台南市北區分事務所：台南市新營區東興六街49號
111法登他000088,3,台南市南區分事務所：台南市中西區西賢一街139號
111法登他000103,1,台南市仁和路七十四號
111法登他000107,1,台南市玉井區三埔里83之1號
111法登他000136,1,台南市永康區中山北路70號8樓之2
111法登他000136,2,高雄市三民區自由一路44號1樓
111法登他000136,3,台中市美德街170之6號
111法登他000136,4,花蓮市民權八街60號5樓
111法登他000163,1,台南市南區新建路47號九樓
111法登他000186,1,嘉義市大業街40巷8號
111法登他000254,1,台北市北投區湖山路一段12號
111法登他000299,1,台北市內湖區民權東路六段296巷67號
111法登他000299,2,桃園市龜山區文興路61號10樓
111法登他000314,1,"台南市勝利路８５號２樓C 室"
