登記案號,序號,分事務所地址
111法登他000064,1,新竹市光復路1段531巷72之8號
111法登他000069,1,"彰化伯特利教會  彰化市介壽新村103號"
111法登他000069,2,"彰化蒙恩堂  彰化市中山路二段382巷17號"
111法登他000069,3,"新竹蒙恩堂  新竹市西門街295號"
111法登他000069,4,"新竹福音堂  新竹市延平路一段501號"
111法登他000069,5,"財團法人基督教中華協力會附設新竹市私立伯大尼老人養護中心    新竹市延平路一段491號"
111法登他000069,6,"大溪福音堂 桃園市大溪區三元二街115巷38號"
111法登他000096,1,台北市南港區向陽路191號11樓
111法登他000166,1,台北市青島東路五號三樓之一
111法登他000208,1,"彰化伯特利教會  彰化市介壽新村103號"
111法登他000208,2,"彰化蒙恩堂  彰化市中山路二段382巷17號"
111法登他000208,3,"新竹蒙恩堂  新竹市西門街295號"
111法登他000208,4,"新竹福音堂  新竹市延平路一段501號"
111法登他000208,5,"財團法人基督教中華協力會附設新竹市私立伯大尼老人養護中心    新竹市延平路一段491號"
111法登他000208,6,"大溪福音堂 桃園市大溪區三元二街115巷38號"
111法登財000004,1,新竹市北區經國路二段16號7樓
