登記案號,序號,分事務所地址
111法登他000001,1,花蓮市中央路3段707號(花蓮慈濟醫院遺傳諮詢學會)
111法登他000006,1,花蓮縣新城鄉新城村仁愛路17-2號
111法登他000021,1,花蓮縣新城鄉新城村仁愛路17-2號
111法登他000022,1,日本東京都新宿區大久保一丁目2番16號
111法登他000022,2,"1100 S.Valley Center Ave.,Bldg 6,San Dimas,CA 91773  U.S.A."
111法登他000022,3,"29 Agno corner Cordillera Sts.,Barangay Dona Josefa,Quezon City,Philippines"
111法登他000022,4,"No.213/4A,William Jayasuriya Mw,Bandaragama Road,Kesbewa,Sri Lanka"
111法登他000022,5,越南胡志明市第五郡十三坊馮興街36-38號
111法登他000022,6,"阿-穆哈塔街,東安曼,約旦"
111法登他000022,7,"C689 Hub,Manzini,Eswatini,史瓦帝尼"
111法登他000022,8,"#349, Plov Lum,Phum Porbrok Khangchhoeung,Sangkat Kakab,Khan Porsenchey,Phnom Penh,Cambodia."
111法登他000025,1,花蓮市中興路75號
111法登他000032,1,桃園市中壢區復興路46號6樓
111法登他000032,2,台中市西屯區安和路168號2樓之6
111法登他000032,3,嘉義市仁愛路347號6樓之3
111法登他000032,4,高雄市三民區九如二路366號3樓
111法登他000032,5,花蓮市自由街150號5樓
111法登他000044,1,聖靈重建教會高雄教會設於高雄市三民區自由一路44號1樓
111法登他000044,2,聖靈重建教會台南教會設於台南市永康區中山北路70號8樓之2
111法登他000044,3,聖靈重建教會台中教會設於台中市美德街170之6號
111法登他000044,4,聖靈重建教會花蓮教會設於花蓮市民權八街60號5樓
111法登他000066,1,台北市中山區龍江路76巷31號6樓
111法登社000003,1,花蓮縣秀林鄉景美村加灣2之1號
