登記案號,序號,分事務所地址
111法登他000053,1,新北市林口區文化一路1段150之2號
111法登他000139,1,新北市板橋區忠孝路214號
111法登他000242,1,台中市西區自治街226號6樓
111法登他000242,2,高雄市苓雅區中正二路22號10樓之2
111法登他000319,1,臺北市大安區敦化南路二段200巷18號五樓
111法登他000319,2,臺中市西區自治街226號六樓
111法登他000319,3,高雄市苓雅區中正二路22號10樓之2
111法登他000327,1,高雄市路竹區路科一路3號
111法登他000361,1,臺北市萬華區昆明街270號
111法登他000391,1,臺中市北屯區文心路4段83號17樓
111法登他000391,2,高雄市左營區博愛二路198號4樓之2、之3
111法登他000407,1,新北市三重區中正北路18號3樓之6
111法登他000437,1,臺北市大安區敦化南路二段200巷18號五樓
111法登他000437,2,臺中市西區五權西路1段237號15樓之1
111法登他000437,3,高雄市苓雅區中正二路22號10樓之2
111法登他000457,1,高雄市路竹區路科一路3號
