登記案號,序號,分事務所地址
111法登他000021,1,南投縣南投市民族路615號
111法登他000056,1,分事務所：南投縣南投市中山街79號
111法登他000063,1,南投縣草屯鎮中正路358之158號
111法登他000063,2,台中市西區民權路312巷4號地下室
111法登財000001,1,台東市中興路110號
111法登財000001,2,臺北市大安區羅斯福路2段75號8樓
111法登財000001,3,新北市新店區順安街2號Ｂ1
111法登財000001,4,桃園市龍潭區百年一街2巷10號
111法登財000001,5,苗栗縣苗栗市中正路63之1號
111法登財000001,6,台中市西區三民路1段174號11樓
111法登財000001,7,臺南市中西區臨安路1段89號2樓
111法登財000001,8,高雄市苓雅區凱旋一路3號3樓
111法登財000001,9,屏東縣鹽埔鄉新圍村德二街42號
111法登財000001,10,彰化縣員林市靜修路55號2樓
111法登財000001,11,花蓮市中美十街39號
111法登財000001,12,新竹縣竹北市自強五路279號3樓
111法登財000001,13,宜蘭縣宜蘭市三清路2之1號
111法登財000001,14,雲林縣斗六市北平路192號
111法登財000001,15,南投縣名間鄉彰南路145之1號
