登記案號,序號,分事務所地址
110法登他000073,1,高雄市苓雅區中山二路412號3樓
110法登他000116,1,高雄市大寮區鳳林一路329巷179號
110法登他000135,1,高雄市新興區中正三路28號9樓
110法登他000136,1,高雄市前金區中正四路211號
110法登他000137,1,高雄市鳳山區濱山街6之6號
110法登他000214,1,高雄市鳳山區濱山街6之6號
110法登他000224,1,台北市信義區信義路四段415號6樓
110法登他000224,2,新竹縣竹北市中華路340-10號3樓
110法登他000227,1,高雄市苓雅區三多二路219號(分事務所負責人蘇喜德)
110法登他000231,1,高雄市新興區中正三路28號9樓
110法登他000284,1,前鎮分事務所:高雄市前鎮區瑞吉街77號
110法登他000284,2,鳳山分事務所:高雄市鳳山區博愛路51巷1號
110法登他000284,3,大寮分事務所:高雄市大寮區內厝393號
110法登他000284,4,永愛分事務所:屏東市豐榮街185巷10號
110法登他000284,5,小港分事務所:高雄市小港區廠前路43號
110法登他000284,6,黎明分事務所:屏東縣內埔鄉黎明村黎東路839號
110法登他000284,7,頌恩分事務所:屏東縣枋寮鄉金城路86巷9號
110法登他000284,8,鼓山分事務所:高雄市鼓山區鼓山二路36號
110法登他000284,9,活泉分事務所:高雄市橋頭區甲圍路99之1號
110法登他000374,1,高雄市大寮區鳳林一路329巷179號
