登記案號,序號,分事務所地址
099法登他000092,1,高雄市苓雅區中山二路412號3樓
099法登他000139,1,高雄縣大寮鄉鳳林一路329巷179號
099法登他000150,1,"台北市信義路3段162之 24號6樓"
099法登他000150,2,台中市工業區三十七路25號
099法登他000157,1,高雄縣六龜鄉新寮村三民路81之6號
099法登他000170,1,高雄市三民區九如二路583號11樓
099法登他000170,2,高雄縣鳳山市濱山街6之6號
099法登他000176,1,台南市東區裕農路457號
099法登他000176,2,台南市安平區建平15街207號
099法登他000193,1,臺中縣豐原市永康路108號
099法登他000199,1,高雄市苓雅區中正一路305號
099法登他000205,1,高雄市新興區林森一路二四二號四樓
099法登他000205,2,高雄市新興區民族二路二十六號二、三樓
099法登他000205,3,高雄市左營區左營大路二十號
099法登他000223,1,"台北市信義路3段162之 24號6樓"
099法登他000223,2,台中市工業區三十七路25號
099法登財000003,1,高雄市苓雅區和平一路309號
