登記案號,序號,分事務所地址
099法登他000010,3,台北市南京東路5段108號4樓
099法登他000030,1,高雄市三民區博愛一路372號5樓
099法登他000030,2,新竹市東南街142巷28號
099法登他000030,3,桃園縣平鎮市環南路2段192巷1號
099法登他000036,1,台北市中山區新生北路三段七號三樓
099法登他000042,1,台北縣新店市行政街十巷六至八號及十二巷四至六號
099法登他000065,1,台中市中區三民路2段46號12樓之3
099法登他000065,2,高雄市苓雅區中正二路139號5樓之1
099法登他000101,1,台北市中正區愛國東路100號13樓
099法登他000102,1,台北市大直街62巷10號
099法登他000126,1,台北市北投區立德號123號（台北捐血中心）
099法登他000126,2,台南市永福路1段85號（台南捐血中心）
099法登他000126,3,基隆市信一路14號1樓（台北捐血中心基隆捐血站）
099法登他000126,5,新竹縣竹北市光明十一路215巷8號（新竹捐血中心）
099法登他000126,6,桃園市文康街61號（新竹捐血中心桃園捐血站）
099法登他000126,7,苗栗市為公路282號、292巷1號1樓、2樓（新竹捐血中心苗栗捐血站）
099法登他000126,8,台中市西屯區台中港路3段124-30號（台中捐血中心）
099法登他000126,9,彰化市中山路1段348號（台中捐血中心彰化捐血站）
099法登他000126,10,南投縣埔里鎮北環路222號（台中捐血中心埔里捐血站）
099法登他000126,11,花蓮市中山路1段170號（花蓮捐血中心）
099法登他000126,12,屏東市和平路71號（高雄捐血中心屏東捐血站）
099法登他000126,13,高雄市楠梓區高楠公路1837號（高雄捐血中心）
099法登他000126,14,雲林縣斗六市莊敬路300號（台南捐血中心雲林捐血站）
099法登他000126,15,宜蘭市擺厘路16-7號（花蓮捐血中心宜蘭捐血站）
099法登他000126,16,台北縣板橋市中山路1段50巷36號2樓之3、之4（台北捐血中心板橋捐血站）
099法登他000126,17,澎湖縣馬公市中山路62號（高雄捐血中心馬公捐血站）
099法登他000126,18,嘉義市博愛路1段488號（台南捐血中心嘉義捐血站）
099法登他000126,19,台東市四維路3段198號（花蓮捐血中心台東捐血站）
099法登他000198,1,高雄縣內門鄉內南村大學路二００號
099法登他000236,1,台北縣永和市中興街八十號
099法登他000248,1,基隆市暖暖區興隆路14之3號
099法登他000263,1,台中市南屯區五權西路2段668號5樓
099法登他000263,2,高雄市苓雅區四維四路22號11樓之1
099法登他000263,3,台北縣板橋市四川路2段16巷10號3樓
099法登他000263,4,新竹市和平路142號2樓
099法登他000263,5,台南市東區東門路3段253號3樓
099法登他000263,6,桃園市復興路70號3樓
099法登他000263,7,苗栗市站前1號4樓
099法登他000263,8,嘉義市友愛路562號4樓
099法登他000263,9,高雄縣鳳山市光遠路406號2樓
099法登他000276,1,高雄市苓雅區和平一路309號1樓
099法登他000298,1,台北市永綏路八號
099法登他000312,1,台北市南港區中坡北路92號2樓
099法登他000318,1,台中市西區三民西路六一號
099法登他000474,1,加利福尼亞州拉克士波市東法蘭西斯德雷克爵士大道六十號三０八室
099法登他000482,1,台東市長沙街三０三巷一號
099法登他000521,1,台中市南屯區大墩一街200號
099法登他000521,2,台南市東區勝利路85號2樓
099法登他000521,3,高雄市左營區富國路185號10樓之4
099法登他000553,1,台中市南屯區五權西路2段668號5樓
099法登他000553,2,高雄市苓雅區四維四路22號11樓之1
099法登他000553,3,台北縣板橋市四川路2段16巷10號3樓
099法登他000553,4,新竹市和平路142號2樓
099法登他000553,5,台南市東區東門路3段253號3樓
099法登他000553,6,桃園市復興路70號3樓
099法登他000553,7,苗栗市站前1號4樓
099法登他000553,8,嘉義市友愛路562號4樓
099法登他000553,9,高雄縣鳳山市光遠路406號2樓
099法登他000553,10,宜蘭縣羅東鎮民族路32號
099法登他000553,11,花蓮縣花蓮市中興路243號5樓
099法登他000553,12,基隆市孝二路39號4樓之2
099法登他000553,13,南投縣草屯鎮登輝路335號
099法登他000553,14,屏東縣屏東市光復路114之1號
099法登他000556,1,"基隆市中正路611號8樓Ａ室     南投市營北路243號"
099法登他000556,2,"桃園縣民生路148號4樓         新竹市南大路271號6號"
099法登他000556,3,"台南市長榮路2段157號3樓     嘉義市中正路360號8樓"
099法登他000556,4,"苗栗市中正路863號6樓         彰化市中正路1段141號"
099法登他000556,5,"花蓮市三民街28之1號4樓       屏東市民生路3之17號2樓"
099法登他000556,6,"宜蘭市農權路2段30號2樓       台東博愛路490號3樓"
099法登他000556,7,高雄市鼓山區華營路409號
099法登他000556,8,台中市三民路3段144號6樓之1
099法登他000556,9,台中縣豐原市東陽里福德巷26巷25
099法登他000603,1,苗栗市恭敬里十二鄰聯工一號（國立聯合技術學院校內）
099法登他000606,1,台北市中山區松江路17號2樓
099法登他000653,1,高雄市新興區民生一路56號22樓之7
099法登他000655,1,台中市民族路92號4樓之2
099法登他000655,2,高雄縣鳥松鄉大埤路36之76號
099法登他000660,1,南投市平和里芳美路429號
099法登他000678,1,台北市大安區信義路3段162之24號6樓
099法登他000711,1,台中市西區三民西路六一號
099法登他000722,1,新竹縣竹北市中華路117號
099法登他000722,3,台中市南屯區大進街393號2樓
099法登他000722,4,嘉義市新生路657號5樓之1
099法登他000722,7,高雄市三民區澄和路151號6樓之1
099法登他000722,10,台北市信義區松隆路102號3樓之2
099法登他000799,1,基隆市基金一路110之87號　　　　　　　　台北市士林區德行東路314號1樓
