登記案號,序號,職稱,姓名,網站連結
073法登000004,1,董事長,施能傑,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ba0MOrIk8nuSEmpNg1fgQA6FJf9cd5V1-aul9UwLJI7x2Cdqn0NWw8g=
073法登000004,2,"董  事",孔憲凱,https://aomp109.judicial.gov.tw/judbp/whd6k/q/BkOfqG6DwUPPzokHs2AGdQes4WnfR9M5bzKvM89ZAFNb5HJ31DX6vO0=
073法登000004,3,"董  事",成文秀,https://aomp109.judicial.gov.tw/judbp/whd6k/q/hf5vOy32cH02AbK20Aq3mI-be8jjwLMae1OshODJa8xEbtZu3CBeSd8=
073法登000004,4,"董  事",孔大衛,https://aomp109.judicial.gov.tw/judbp/whd6k/q/RQG3-7AmI3v-nNppHS2B3V0xdGptokoaDfxphGQaROn5YfSsJSYZejg=
073法登000004,5,"董  事",王景濤,https://aomp109.judicial.gov.tw/judbp/whd6k/q/qQPGE7OQ4iQUyRhycGkCskxutOq-KH8sgWiddvPlX8YVL0znJiLKw_E=
073法登000004,6,"董  事",李仲泰,https://aomp109.judicial.gov.tw/judbp/whd6k/q/7Ag_dXzGGJDQs5PGOTfmn9P7_iRTx4qCaJL0zAKeKsC_BjbeDi8iGlk=
073法登000004,7,"董  事",葉維新,https://aomp109.judicial.gov.tw/judbp/whd6k/q/rjo5MJQCMPbOo5o09q7SMk6gUtO2PXqbvBw9OIhdvgsSFv9iT7NLmNg=
073法登000004,8,"董  事",王藍田,https://aomp109.judicial.gov.tw/judbp/whd6k/q/vSwjU8NhSbboV0QBcn_JtW9_zRtCCOC9g3drWx9RyWZSV03-Iv21x1o=
073法登000004,9,"董  事",劉毅文,https://aomp109.judicial.gov.tw/judbp/whd6k/q/BbZjthJYD9W1D0jQkivWmbjLHdi3F0TALtpdmSDWnA9va1QPlt9uFC0=
073法登000004,10,"董  事",李黃素琦,https://aomp109.judicial.gov.tw/judbp/whd6k/q/k3LQjMBApYZlxiVOXm5jOD6f-RoHiKXZpfkFlkra9JYoSczLB7FGygs=
073法登000004,11,"董  事",章施心心,https://aomp109.judicial.gov.tw/judbp/whd6k/q/2fQp871E2ITD3Yg2OsnTD-m3S3oskXy_LCorAQIdrwSb7hygvx6ldeg=
073法登000005,1,董事長,汪司政,https://aomp109.judicial.gov.tw/judbp/whd6k/q/VTPnM9kbVC-LtTsa4-RzlEqrCUxi_iufgamDWNeKXCZFPvuORWEs
073法登000005,2,"董  事",趙寶英,https://aomp109.judicial.gov.tw/judbp/whd6k/q/eOJdP_i2MYZFB0N1Oku3-imbFRYl1EIJIY8dkCg4bD3HgLb-OZno
073法登000005,3,"董  事",徐國榮,https://aomp109.judicial.gov.tw/judbp/whd6k/q/HkQRju2BQrYLDyXg8fzsuL0n60y2_XMSAWLVfSpgm7OgU2F5jSy3
073法登000005,4,"董  事",簡秀英,https://aomp109.judicial.gov.tw/judbp/whd6k/q/tpY4JW7BNHW04sq3G2ywXb4EsYIYZw0dQbk2umVxbUkWs9FsaxFt
073法登000005,5,"董  事",杜瓊睢,https://aomp109.judicial.gov.tw/judbp/whd6k/q/qAn6RnKZLxnIHnsd8a8YMTCZi-3I0uknvKKiLoNeA4Ag2fvcu2HA
073法登000005,6,"董  事",林維漢,https://aomp109.judicial.gov.tw/judbp/whd6k/q/NMMKwIXsR32I91a5qAKzpbkmtleze7I44jfdN1dSbcg7ZyoISKmZ
073法登000005,7,"董  事",蘇平平,https://aomp109.judicial.gov.tw/judbp/whd6k/q/DpfBXLSf3hC7sWz-ndDn02EebpseyXrHll03fLN1QHHAeBWb4jkJ
073法登000005,8,"董  事",傅金成,https://aomp109.judicial.gov.tw/judbp/whd6k/q/iQovCjbbechtY0zIkliRgQ0Pcba_Gq8657TgoQik5mOLakIm5DpY
073法登000005,9,"董  事",傅緯源,https://aomp109.judicial.gov.tw/judbp/whd6k/q/EY_oYYX7JKjwleINm8d9sUWosSLWy4p5jJppVzQTyfDX4w3MtzLA
073法登000007,1,董事長,歐陽曈,https://aomp109.judicial.gov.tw/judbp/whd6k/q/u9VGZX0AHKx9fTHu7nHg2Wf0cLj5jEqw7sfU_bNP-KhuFbUad10Ajw==
073法登000007,2,"董  事",曾虞書,https://aomp109.judicial.gov.tw/judbp/whd6k/q/wkWRDYLPMPn1zg086jRjAQ2NxkvhU6JdFMjT6U6HmP65TGKR72om0w==
073法登000007,3,"董  事",高國光,https://aomp109.judicial.gov.tw/judbp/whd6k/q/XUPBKMsOg6NYCqlbDOvfgShgajfwHq46ubuqRr725NGChjWcYv2RsQ==
