登記案號,序號,分事務所地址
115法登他000014,1,彰化縣芳苑鄉草漢北路21號
115法登他000043,1,臺中市西區柳川西路二段47號
115法登他000047,1,彰化縣芳苑鄉草漢北路21號
115法登他000097,1,新北市樹林區大安路530號10樓
115法登他000118,1,南投縣埔里鎮博愛路37號
115法登他000134,1,臺北市大同區民權西路91號11樓之6
115法登他000134,3,南投縣南投市仁德路23號
115法登他000215,1,臺中市烏日區九德里中山路一段144號
115法登他000221,1,臺中市西區公德里精誠十六街39號3樓之1
115法登他000246,1,臺南市永康區中山北路70號8樓之2
115法登他000246,2,臺中市美德街170之6號
115法登他000246,3,花蓮縣花蓮市民權八街60號5樓
115法登他000315,1,臺中市東區東門里振興路246巷36號
115法登他000321,1,臺中市大里區益民路二段57巷49號
115法登他000356,1,臺中市西區民權路312巷4號地下室
115法登他000356,2,南投縣草屯鎮中正路358之158號
115法登他000448,1,臺北市文山區樟新街６３巷３號
115法登他000478,1,臺中市太平區太興路10號
115法登他000478,2,臺中市太平區育德路167號
115法登他000486,1,臺中市西屯區安和路64之1號
115法登他000496,1,臺中市豐原區豐年路１５號
115法登他000522,1,臺中市西區三民西路６１號
115法登他000532,1,基隆市中山區協和街５５巷１１號
115法登他000537,1,新北市樹林區大安路530號10樓
115法登他000548,1,臺北市松山區八德路四段606號7樓之3
115法登他000548,2,金門縣金湖鎮新湖里環島南路塔后段5巷20號
