登記案號,序號,職稱,姓名,網站連結
083法登000002,1,董事長,陳金俊,https://aomp109.judicial.gov.tw/judbp/whd6k/q/bs_vGZAyPO4vpNqrCgsm_GtFXhs7Q7OT1eY7qrS1cp2W_0R2zPVPmT9ZybE=
083法登000002,2,常務董事,林許,https://aomp109.judicial.gov.tw/judbp/whd6k/q/FaJkYeJy7u8kP_N5NpISCJPu_-QlmBQBBroQrbeVJDpPdqu7XBuytF_7RJ8=
083法登000002,3,常務董事,林春江,https://aomp109.judicial.gov.tw/judbp/whd6k/q/s2ietcEJGlNLTP7MZnRu8PuiAeQTT3lPImMxH0r9c2k2DhstAwUIVHCn1Us=
083法登000002,4,"董  事",許敏欣,https://aomp109.judicial.gov.tw/judbp/whd6k/q/mX0mcDmt9QPUFadEHkwWQig_w-AtrxjGHutJkxjaWxBmJyzwg4rVpgFeoa4=
083法登000002,5,"董  事",高清泉,https://aomp109.judicial.gov.tw/judbp/whd6k/q/qGm-MW5bSqxvyQbU2v_uReFyMIlNyas540wxIsp7XYGCzVKF-XsriGgtCaY=
083法登000002,6,"董  事",蘇泰安,https://aomp109.judicial.gov.tw/judbp/whd6k/q/cnkCWM_DIH-Uwx36RedUAMdZsZvAgqFgtprCpG-Ip63YnhNStjxPBnhjzxY=
083法登000002,7,"董  事",歐淑滄,https://aomp109.judicial.gov.tw/judbp/whd6k/q/B3XzouPNyalcSzoLUxhvte_MGtSB9OcEdOu_jiYWO6g3UQC-S_JMZpNE1mY=
083法登000002,8,"董  事",翁東城,https://aomp109.judicial.gov.tw/judbp/whd6k/q/1rV36-PO-svo_hcUli23c7-KtvNlO1mswdfOtORsazq9eXFonMb8oyD-jrE=
083法登000002,9,"董  事",劉有土,https://aomp109.judicial.gov.tw/judbp/whd6k/q/EXzaLEL6iJ5CEYhew6mjehWH6VP-nHoJeJjm9-cYIrlFlrHn5KWJYgEkQao=
083法登000002,10,"董  事",王添財,https://aomp109.judicial.gov.tw/judbp/whd6k/q/JJ8jWc_VgiHva1TnCZpn2zMI1xVVZzaB3fA9vTAQK9s15XGpWRnJ4BEMZHg=
083法登000002,11,"董  事",林香如,https://aomp109.judicial.gov.tw/judbp/whd6k/q/YwSPVBdO93JhANBZkLun-PpdcXPF8ZtIdi5qBETKnSI8yvgt9FirDzdNEm0=
083法登000003,1,董事長,吳香達,https://aomp109.judicial.gov.tw/judbp/whd6k/q/JIZqdx6qZJxNaHsU_PuA4uk1WO7QzcTPRYKAGZ2FNPqzUPlEcm5_hks=
083法登000003,2,監察人,莊仁德,https://aomp109.judicial.gov.tw/judbp/whd6k/q/2CfJZKd-Wi1mB-YTI9R9JF_Uk6SJaUojyz35N4KggmxnfeKideERFJ0=
083法登000003,3,"董  事",李義男,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Dr6eEzOly5scx_NDR5aHXlqSqKOzhf1_Of4bRDp8SXR4fZAyGs6ZHI4=
083法登000003,4,"董  事",何師竹,https://aomp109.judicial.gov.tw/judbp/whd6k/q/x_k8zkrB7BcXEn5661MCLsIYlHKDtKwNevUxpkUkLoUFKKLyW_2tvvo=
083法登000003,5,"董  事",袁九重,https://aomp109.judicial.gov.tw/judbp/whd6k/q/C6pf-WYNyWHUDa8W112bfBVy-vdXmdTftjTgrAIMBHm9tfXGHCeVafY=
083法登000003,6,"董  事",陳國慈,https://aomp109.judicial.gov.tw/judbp/whd6k/q/y2r-RkuOXCkIXBEslz6nC4KnP_CR3n0A_SOMzGZAL6sR7ExOIchCdvA=
083法登000003,7,"董  事",張昇平,https://aomp109.judicial.gov.tw/judbp/whd6k/q/YbfUskyroSJK-dNAIXdh6M1s9K3KdfGlesdCfDkWPvbIrIg2gZsgbMs=
083法登000003,8,"董  事",趙灌中,https://aomp109.judicial.gov.tw/judbp/whd6k/q/C1PSFpuyCqDFvGIqMwOG41LdHmEkr0bmlkUCr3qFBFhHeawJMCCiJcI=
083法登000003,9,"董  事",賴武雄,https://aomp109.judicial.gov.tw/judbp/whd6k/q/TGVLz7YXSjEqTCXewYR4EJcQxu07DSjYWPohj2ZyIPWCMxXPC7Gnatc=
083法登000003,10,"董  事",簡婉儀,https://aomp109.judicial.gov.tw/judbp/whd6k/q/32dyoocTn7g0u_xi9GktUzYo1ZoQjATtnhaY3cVJCWgjYJrlutgazpc=
083法登000005,1,董事長,柯賢三,https://aomp109.judicial.gov.tw/judbp/whd6k/q/YPTwjo85ZnqzYFi95KJXBF-oSR3wMvilRJRz0IkagCGlZS9t8BaKrsRshlY=
083法登000005,2,"董  事",楊國保,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Dqm3klZGp8-RqDzsr2g_u0NKThBrpkG_c9gHuOLIw4XiDFTPbvBBoZjHwhk=
083法登000005,3,"董  事",許宏榮,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Jarup8l-Hrj6-2rZBh4evHZIk1MxHvFdebYwJzv-X9HgsSQFyiavLbSH-To=
083法登000005,4,"董  事",柯正雄,https://aomp109.judicial.gov.tw/judbp/whd6k/q/hX7XF9NGu4MUnS3C6L07kg0cbimo3oV2jF1cDFeAsQ6rrQQ5oguDPBUfuYQ=
083法登000005,5,"董  事",陳張秀琴,https://aomp109.judicial.gov.tw/judbp/whd6k/q/G3qR8KVtpOb_C1trhn1RQLITN-WdZOsil3nfVE2cAfMSAqKMe9Dmr8rIK5Y=
083法登000005,6,"董  事",唐賽花,https://aomp109.judicial.gov.tw/judbp/whd6k/q/lfsU-iFBpIueIvdmO0_EP5yII3zXW7eKNXF3Q76vGLm93xouM5tiP-p2-Os=
083法登000007,1,董事長,李石柱,https://aomp109.judicial.gov.tw/judbp/whd6k/q/RFFS-E_Rav-ld6b7ApQepMkIl4h2MwOfW-3pf9QhqXDTgJl_srdwOVM=
083法登000007,2,"董  事",李文峰,https://aomp109.judicial.gov.tw/judbp/whd6k/q/_lSs963ClwYlPCgWcIvoqrlu4d93nnwN8z0KG6wsfeD5PogIgaKVk_M=
083法登000007,3,"董  事",李文琳,https://aomp109.judicial.gov.tw/judbp/whd6k/q/6S_kzGqMI7HVr9tkfml1sb8uilzUCY5yvJxuuP1HYBdif39N5JIZCbA=
083法登000007,4,"董  事",徐煙柏,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ndRKMuGybYXig6IDuBShoTDkhCbSJ7jW2V8wxqqgDiGoU9ofxloAQ8s=
083法登000007,5,"董  事",王成文,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Y-cdLCJl9n2EKdrbrorR74s7sbbbq3Mxl_8wHU0V6lm6svi2FhV1Wik=
