登記案號,序號,分事務所地址
106法登他000007,2,新竹市建華街2號7樓
106法登他000007,3,臺中市北區大雅路337號5樓之2
106法登他000007,4,高雄市三民區民族一路80號39樓之2
106法登他000007,5,花蓮縣花蓮市府前路200號
106法登他000007,6,臺東縣臺東市傳廣路458號
106法登他000051,1,新竹市東區東光路55號6樓之3
106法登他000051,2,台中市北區中清路1段447號5樓之2
106法登他000051,3,南投縣竹山鎮中山路1之61號
106法登他000051,4,高雄市三民區民族路1段80號39樓之2
106法登他000051,5,花蓮縣花蓮市博愛街239號3樓
106法登他000051,6,台東市四維路2段2號2樓
106法登他000071,1,高雄市路竹區路科一路3號
106法登他000185,1,新北市三峽區國光街12巷10號1樓
106法登他000243,1,台中市潭子區豐興路1段577巷23號
106法登他000297,1,新北市三峽區國光街12巷10號1樓
106法登他000352,1,臺中市北屯區文心路四段83號17樓
106法登他000352,2,高雄市左營區博愛二路198號4樓之2
106法登他000353,1,臺中市北屯區文心路四段83號17樓
106法登他000353,2,高雄市左營區博愛二路198號4樓之2
