登記案號,序號,分事務所地址
106法登他000001,1,彰化縣彰化市陽明里慈生街72號
106法登他000015,1,南投縣南投市南崗工業區成功三路323號
106法登他000046,1,彰化縣彰化市中華路176號
106法登他000046,2,彰化縣二林鎮大成路1段558號
106法登他000046,3,彰化縣鹿港鎮中正路480號
106法登他000046,4,彰化縣鹿港鎮鹿東路2段888號
106法登他000046,5,雲林縣西螺鎮市場南路375號
106法登他000046,6,彰化縣二林鎮南光里安和街40巷28號
106法登他000046,7,彰化縣彰化市建寶里建寶街20號5至7樓
106法登他000046,8,彰化縣彰化市旭光路320號
106法登他000046,9,彰化縣員林市莒光路456號
106法登他000084,1,彰化縣彰化市中華路176號
106法登他000084,2,彰化縣二林鎮大成路1段558號
106法登他000084,3,彰化縣鹿港鎮中正路480號
106法登他000084,4,彰化縣鹿港鎮鹿東路2段888號
106法登他000084,5,雲林縣西螺鎮市場南路375號
106法登他000084,6,彰化縣二林鎮南光里安和街40巷28號
106法登他000084,7,彰化縣彰化市建寶里建寶街20號5至7樓
106法登他000084,8,彰化縣彰化市旭光路320號
106法登他000084,9,彰化縣員林市莒光路456號
106法登他000094,1,"彰化伯特利教會  設彰化縣彰化市介壽新村103號"
106法登他000094,2,"彰化蒙恩堂      設彰化縣彰化市中山路2段382巷17號"
106法登他000094,3,"新竹蒙恩堂      設新竹市西門街295號"
106法登他000094,4,"新竹福音堂      設新竹市延平北路1段501號"
106法登他000094,5,財團法人基督教中華協力會附設新竹市私立伯大尼老人養護中心　設新竹市延平北路1段491號
106法登他000094,6,"大溪福音堂      設桃園市大溪區三元二街115巷38號"
106法登他000102,1,彰化縣和美鎮新庄里東發路190號
106法登他000128,1,彰化縣二林鎮萬合里太平路2段600號
106法登他000139,1,彰化縣和美鎮新庄里東發路190號
106法登社000017,1,彰化縣埔鹽鄉大有村員鹿路三段16號
