登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
081法登000010,1,2,謝怜聰,76,0810616,0810616,0810617,8冊42頁,2,9,蔡惠塘,財團法人北部台灣基督長老教會新竹中會,0541007,新竹市光鎮里高峰路一一０號,為圖謀基督教健全之發展，而幫助台灣基督長老教會新竹中會之傳道事工，並致力管理本會所屬資產,信徒捐助,五十四年十月四日　　台灣省政府民政局,永　　　九,2000000.00,1,0810616,0921224,,,,,,,
081法登000011,1,2,謝怜聰,126,0810307,0810309,0810309,7冊34頁,2,0,董事長,財團法人台灣省新竹縣基督教改革宗長老會新,0610727,新竹市林森路一八二巷一二號,"傳佈基督教教育,辦理社會教義,救濟事業。",捐助,六十一年六月三十日新竹市政府,無限期,1987300.00,1,0810307,0921224,,,,,,,
081法登000012,1,2,謝怜聰,145,0810622,0810622,0810623,8冊3頁,2,4,龍和順,財團法人台灣省苗栗縣私立幼獅高級工商職業學校,0620716,苗栗縣苑裡鎮南房里七五號之一,創辦私立興華高級工商職業學校，病謀其發展為目的,捐助,"台灣省政府教育廳   六十二年六月一日","永  久",14634040.00,1,0810622,0921224,,,,,,,
081法登000020,1,2,謝怜聰,205,0810716,0810909,0810910,9冊32頁,2,2,蔡永勳,財團法人台灣省私立香園紀念教養院,0780211,新竹縣湖口鄉中正路三段一一六號,推廣特殊教育、辦理智障少年之身心復健與職業技能教育,由董事長蔡永勳暨社會熱心人士捐助,七十八年一月十三日台灣省政府社會處,無限期,102947540.00,1,0810909,0921224,,,,,,,
081法登000154,1,2,謝怜聰,154,0810116,0811012,0811020,8冊62頁,,6,董事長,財團法人台灣省新竹市彭氏祖祠管理委員會,0640307,新竹市南寮里東大路三段四六七巷一號,"本會以奉祀開基始祖商賢大夫以錢鏗公暨歷代烈祖烈宗之神位,闡揚祖德、敦親睦族、追思祖德扶植後裔並宏揚復興中華文化為宗旨",捐助,六十四年一月八日新竹縣政府,無限期,398119.00,1,0811012,0921224,,,,,,,
081法登000226,1,1,鄭忠仁,226,0810320,0810320,0810323,9冊50頁,,0,董事長,財團法人新竹市香山國民小學教育發展基金會,0810320,新竹市牛埔路三八七號,協助政府教育建設舉辦全校性校內外之各項教育活動。,校友、地方人士自由捐助,八十年九月十四日新竹市政府,永久,2220000.00,1,0810320,0921224,,,,,,,
081法登000227,1,1,鄭忠仁,227,0810320,0810320,0810323,10冊1頁,,0,董事長,財團法人新竹市立光華國民中學教育發展基金會,0810320,新竹市光華北街一０號,協助新竹市立光華國民中學推展教育建設辦理教育活動，充實教學設備、獎勵清寒績優生及有關教育建設事項。,校友、地方人士自由捐助。,八十一年一月十日新竹市政府,永久,2795000.00,1,0810320,0921224,,,,,,,
081法登000228,1,1,鄭忠仁,228,0810422,0810422,0810425,10冊2頁,,0,董事長,財團法人鄭謝寶綵社會文教基金會,0810422,新竹市石坊街八號,設置青少年獎助學金、獎助優秀清寒學生。協助清寒特殊兒童成長之資助。其他有關社會教育及文化事業之捐助。,由鄭萬來發起創設暨鄭謝萬杰等九人捐助,八十年十二月十日新竹市政府,無限期,3500000.00,1,0810422,0921224,,,,,,,
081法登000229,1,1,鄭忠仁,229,0810430,0810430,0810503,10冊3頁,1,0,董事長,財團法人新竹市立朝山國民小學教育發展基金會,0810430,新竹市中華路五段六六二號,協助政府推展教育建設。舉辦全校性校內外之各項教育活動。,地方熱心教育人士及校友自由捐助。,八十一年二月十六日新竹市政府,永久,2036770.00,1,0810430,0921224,,,,,,,
081法登000230,1,1,鄭忠仁,230,0810430,0810430,0810503,10冊4頁,,0,董事長,財團法人新竹市立建華國民中學教育發展基金,0810430,新竹市東山里學府路二號,提昇學校教育品質,熱心教育建設人士捐助,八十一年三月二十日新竹市政府,永久,3000000.00,1,0810430,0921224,,,,,,,
