登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
112法登他000001,1,2,林妙妙,34,1120112,1120112,1120117,2冊34頁,2,16,饒慶鈴,財團法人臺東縣文化基金會,0790604,臺東縣臺東市南京路25號,"為推動台東縣各項社會教育及文化活動,促進藝術交流。",政府補助及機關、學校、社團、個人捐助及基金孳息收入。,臺東縣政府中華民國79年4月17日七九府教社字第27187號函准予備查。,永久,98752156.00,1,1120113,,1120130,,,,,,
112法登他000002,2,2,林妙妙,355,1120118,1120118,1120118,11冊28頁,1,,戴桂雲,社團法人臺東縣長照協會,1101223,臺東市中華路三段193號,促進會員之團結與發展，保障會員共同權益，確保長期照顧服務品質，以及機構照護體系之健全發展，並配合政府長照福利政策，推展長期照顧相關業務。,入會費、常年會費、事業費、會員捐款、委託方案收益、基金及其孳息、其他收入。,"臺東縣政 府110年9月30日府民自字第1100202515號",永久,0.00,1,1120118,,1120130,,"一、第1屆理事長劉和蘴辭任，理事戴桂雲繼任理事長; 補選何威霆為第1屆理事。二、原主事務所臺東市永樂路34之1號變更為臺東市中華路三段193號。",,,,
112法登他000003,1,2,林妙妙,265,1120206,1120206,1120207,10冊5頁,1,3,陳彥翰,財團法人孩子的書屋文教基金會,1040622,臺東縣臺東市青海路2段8巷40號,結合社會資源、培育偏鄉部落人才、促進社區文化發展,由社團法人臺東縣教育發展協會捐助,臺東縣政府：104.06.09（府教社字第1040114311號函）,永久,5000000.00,1,1120206,,1120215,,,,,,
112法登他000004,2,2,林妙妙,341,1120214,1120214,1120215,11冊14頁,1,,林宥褕,社團法人台灣犬隻教育訓練協會,1100322,臺東縣臺東市知本路一段46巷77號,本會為依法設立、非以營利為目的之社會團體，以本會的專業訓犬技能，減少流浪犬的產生，提升國人養狗的觀念以及訓練基本能力，擴大社會對犬隻的接受度，增加更多犬隻的附加價值，培養更多訓犬的專業人才為宗旨。,入會費、常年會費、事業費、會員捐款、委託收益、基金及孳息、其他收入。,內政部107年8月29日台內團字第1070055950號,永久,67461.00,1,1120214,,1120223,,"一、財產總額由新台幣48,890元，變更為新台幣67,461元。二、第二屆理事蔡嘉元辭任，由新任理事何詩敏繼任。",,,,
112法登他000005,2,2,林妙妙,252,1120217,1120217,1120218,9冊17頁,2,4,陳源松,社團法人臺東縣身心障礙體育會,1030619,臺東縣臺東市自強里14鄰洛陽街65號,以提倡及推動身心障礙者及關懷老人體育為宗旨，協助身心障礙者及老人達到增進健康、強化意志、超越障礙、感動社會之目標。,入會費、常年會費、永久個人或贊助會員會費、事業費、會員捐款、基金及孳息、委託收益、其他收入。,臺東縣政府；100年11月23日（府社行字第100134189號函）,永久,68824.00,1,1120217,,1120301,,,,,,
112法登他000006,2,2,林妙妙,229,1120220,1120220,1120220,8冊95頁,2,4,徐超斌,社團法人臺東縣南迴健康促進關懷服務協會,1011213,臺東縣達仁鄉土坂村58號,本會以急難救助、關懷照顧弱勢、促進健康及提升醫療品質為要旨，並以部落產業、推廣在地文化、教育、健康照護等，落實本會宗旨、任務及其他相關之事務。,入會費、常年會費、事業費、會員捐款、委託收益、基金及孳息、其他收入,臺東縣政府；99年12月23日（府社行字第0990136895號函）,永久,105444.00,1,1120220,,1120301,,,,,,
112法登他000007,2,2,林妙妙,299,1120222,1120222,1120301,10冊38頁,2,12,謝明智,社團法人臺東縣蘭嶼鄉朗島社區發展協會,1070309,臺東縣蘭嶼鄉朗島村朗島62號,促進社區發展，增進居民福利，建設安和融洽、團結互助之現代化社會為宗旨。,入會費、常年會費、社區生產收益、政府機關之補助、捐助收入、活動之收入、基金及其孳息暨其他收入。,臺東縣政府；91.04.04（府社行字第091003795-1號函）,永久,750000.00,1,1120222,,1120308,,,,,,
112法登他000008,1,2,林妙妙,323,1120301,1120301,1120307,10冊61頁,1,,曾士元,財團法人台灣票據交換所,1080702,臺北市中正區龍福里四鄰南海路3號2樓,為促進台灣地區票據交換及銀行間劃撥結算業務之發展，提高支付系統之安全與效率為宗旨。,由台灣地區各縣市票據交換所（共十六家）共同捐助。,中央銀行中國民國91年9月25日台央業字第0910054270號函,永久,5891435780.00,1,1120301,,1120315,,一、原董事長陳秋棠辭任，由曾士元繼任。二、董事楊枬辭任，由王聰明繼任。三、董事何明堯辭任，由林文瑛繼任。四、董事陳香吟辭任，由周正山繼任。,,,,
112法登他000009,1,2,林妙妙,48,1120301,1120301,1120307,3冊48頁,2,9,張維福,財團法人台東縣新生國民小學文教基金會,0840914,臺東縣新生國民小學內即臺東縣臺東市更生路474巷45號,"獎勵優秀教職員工、學生,獎助清寒學生,學生急難救助,優秀社團,公益活動之贊助。","家長委員,地方熱心教育人士,家長顧問捐贈。","臺東縣政府。 84年月12日.",永久。,3800000.00,1,1120301,,1120315,,,,,,
112法登他000010,1,2,林妙妙,245,1120301,1120301,1120307,9冊1頁,2,3,江賢二,財團法人江賢二藝術文化基金會,1030117,臺東縣東河鄉金樽132-1號。,本會以提升台東縣文化藝術品質及健全台東縣藝術發展環境為宗旨。,財團法人公益平台文化基金會捐助新台幣貳百萬元整。,臺東縣政府102年12月31日府文推字第1020249444號。,永久,2005000.00,1,1120301,,1120315,,,,,,
