登記案號,序號,分事務所地址
112法登他000043,1,臺北市信義路四段２５號１１樓
112法登他000056,1,臺北市中山區長安東路二段49號6樓
112法登他000056,2,新北市新店區北新路一段293號7樓之3
112法登他000056,3,新北市新莊區思源路173號12樓
112法登他000056,4,嘉義市東區吳鳳北路381號4樓
112法登他000056,5,臺南市中西區開山路245號10樓
112法登他000056,6,高雄市前金區中山二路507號4樓
112法登他000056,7,屏東縣屏東市廣東路120巷2號
112法登他000094,1,新北市樹林區大安路530號10樓
112法登他000095,1,
112法登他000115,1,臺中市西區自由路一段140號4樓
112法登他000115,2,高雄市前金區中正四路211號
112法登他000115,3,臺南市中西區府前路一段155號之1
112法登他000115,5,桃園市桃園區中正路48巷2號
112法登他000115,6,新竹市林森路29號4樓
112法登他000115,10,嘉義市中山路306號5樓
112法登他000115,11,屏東縣屏東市中山路43號3樓
112法登他000115,13,花蓮縣花蓮市公園路3號3樓
112法登他000115,14,臺東縣臺東市中華路一段373號3樓
112法登他000115,15,澎湖縣馬公市仁愛路24號2樓
112法登他000141,1,臺中市烏日區九德里中山路一段144號
112法登他000178,1,南投縣中寮鄉龍南路２７７之２０號
112法登他000183,1,臺中市豐原區豐原大道三段145號
112法登他000285,1,臺中市太平區太興路10號
112法登他000285,2,臺中市太平區育德路167號
112法登他000292,1,臺北市建國南路一段161號11樓
112法登他000326,1,臺中市西區三民西路６１號
112法登他000343,1,臺中市西屯區安和路64之1號
112法登他000355,1,臺中市豐原區豐年路１５號
112法登他000467,1,臺北市中山區長安東路二段49號6樓
112法登他000467,2,新北市新店區北新路一段293號7樓之3
112法登他000467,3,新北市新莊區思源路173號12樓
112法登他000467,4,嘉義市東區吳鳳北路381號4樓
112法登他000467,5,臺南市中西區開山路245號10樓
112法登他000467,6,高雄市前金區中山二路507號4樓
112法登他000467,7,屏東縣屏東市廣東路120巷2號
112法登他000508,1,臺中市西屯區安和路64之1號
112法登他000518,1,臺中市西屯區臺灣大道四段1458號（普濟寺）
112法登他000550,1,臺南市永康區中山北路70號8樓之2
112法登他000550,2,臺中市美德街170之6號
112法登他000550,3,花蓮縣花蓮市民權八街60號5樓
112法登他000617,1,臺中市西屯區工業區三十七路２５號
112法登他000617,2,臺北市信義路三段１６２之２４號６樓
112法登他000637,1,臺中市潭子區大通街100號(新城分事務所)
112法登他000637,2,臺中市太平區大興十一街146號(坪林分事務所)
112法登他000640,1,嘉義市泰山三街80號
112法登他000652,1,臺北市文山區樟新街６３巷３號
112法登他000656,1,彰化縣鹿港鎮忠孝路403號3樓
112法登他000663,1,高雄市六龜區新寮里三民路８１之６號
112法登他000736,1,臺中市西屯區安和路168號2樓之6
112法登他000736,2,嘉義市西區延平街448號12樓之2
112法登他000736,3,高雄市三民區九如二路366號3樓
112法登他000736,4,花蓮縣花蓮市自由街150號5樓
112法登他000736,5,桃園市中壢區復興路46號6樓
112法登他000755,1,南投縣草屯鎮虎山路３３２巷１６６號
112法登財000014,1,臺南市北區大武街541巷12弄18號1樓
