登記案號,序號,分事務所地址
107法登他000019,1,彰化縣二林鎮萬合里太平路2段600號
107法登他000059,1,"彰化伯特利教會  設彰化縣彰化市介壽新村103號"
107法登他000059,2,"彰化蒙恩堂      設彰化縣彰化市中山路二段382巷17號"
107法登他000059,3,"新竹蒙恩堂      設新竹市西門街295號"
107法登他000059,4,"新竹福音堂      設新竹市延平北路一段501號"
107法登他000059,5,財團法人基督教中華協力會附設新竹市私立伯大尼老人養護中心　設新竹市延平北路一段491號
107法登他000059,6,"大溪福音堂      設桃園市大溪區三元二街115巷38號"
107法登他000081,1,彰化縣和美鎮新庄里東發路190號
107法登他000089,1,彰化縣彰化市陽明里慈生街72號
107法登他000095,1,臺中市北屯區文心路3段447號8樓B室
107法登他000096,1,彰化縣花壇鄉花秀路166號
107法登他000102,1,彰化縣彰化市中華路176號
107法登他000102,2,彰化縣二林鎮大成路1段558號
107法登他000102,3,彰化縣鹿港鎮中正路480號
107法登他000102,4,彰化縣鹿港鎮鹿東路2段888號
107法登他000102,5,雲林縣西螺鎮市場南路375號
107法登他000102,6,彰化縣二林鎮南光里安和街40巷28號
107法登他000102,7,彰化縣彰化市建寶里建寶街20號5至7樓
107法登他000102,8,彰化縣彰化市旭光路320號
107法登他000102,9,彰化縣員林市莒光路456號
107法登他000111,1,彰化縣和美鎮彰美路5段160號
107法登他000116,1,彰化縣員林市靜修路55號2樓
107法登他000123,1,彰化縣花壇鄉花秀路166號
107法登他000133,1,台北市中山區長春路137巷10號3樓
107法登他000137,1,彰化縣彰化市中華路176號
107法登他000137,2,彰化縣二林鎮大成路1段558號
107法登他000137,3,彰化縣鹿港鎮中正路480號
107法登他000137,4,彰化縣鹿港鎮鹿東路2段888號
107法登他000137,5,雲林縣西螺鎮市場南路375號
107法登他000137,6,彰化縣二林鎮南光里安和街40巷28號
107法登他000137,7,彰化縣彰化市建寶里建寶街20號5至7樓
107法登他000137,8,彰化縣彰化市旭光路320號
107法登他000137,9,彰化縣員林市莒光路456號
107法登他000139,1,彰化縣和美鎮新庄里東發路190號
