登記案號,序號,分事務所地址
114法登他000022,1,臺南市新市區永新路78號（新市分院）
114法登他000032,1,台中市大里區仁愛路175巷88號
114法登他000032,2,嘉義縣新港鄉潭大村潭子墘26之12號一樓
114法登他000037,1,臺南市南區大同路2段136巷10號一樓之5
114法登他000037,2,高雄市鳳山區濱山街6之6號
114法登他000037,3,桃園市中壢區環西路83號
114法登他000037,4,新竹市經國路一段343之1號四樓
114法登他000037,5,宜蘭縣宜蘭市舊城西路12號二樓
114法登他000037,6,花蓮縣花蓮市建華路65巷7號
114法登他000037,7,臺北市光復北路60巷19之6號地下樓
114法登他000037,8,新北市三峽區國光街12巷10號一樓
114法登他000037,9,嘉義市西區貴州街123號
114法登他000037,10,嘉義縣竹崎鄉鹿滿村鹿山路60號
114法登他000037,11,苗栗縣大湖鄉和平路28號
114法登他000037,12,南投縣南投市信義街5巷1號三樓
114法登他000037,13,彰化縣和美鎮東發路190號
114法登他000037,14,雲林縣北港鎮新德路108號
114法登他000037,15,屏東縣東港鎮中正路一段10之1號
114法登他000037,16,臺東縣台東市山西路一段458號
114法登他000037,17,臺中市潭子區大豐路二段1號
114法登他000039,1,臺南市北區大武街564號
114法登他000114,1,臺南市新營區仁愛街125號
114法登他000125,1,臺北市中正區晉江街83號
114法登他000126,1,台南市分所：台南市中西區府前路一段155號之1
114法登他000126,2,台中市分所：台中市西區自由路一段140號4樓
114法登他000126,3,高雄市分所：高雄市前金區中正四路211號
114法登他000126,4,桃園市分所：桃園市桃園區中正路48巷2號
114法登他000126,5,新竹市分所：新竹市林森路29號4樓
114法登他000126,9,嘉義市分所：嘉義市中山路306號5樓
114法登他000126,12,花蓮縣分所：花蓮縣花蓮市公園路3號3樓
114法登他000126,13,台東縣分所：台東縣台東市中華路一段373號3樓
114法登他000126,14,澎湖縣分所：澎湖縣馬公市仁愛路24號2樓
114法登他000148,1,臺南市安南區安和路六段126巷56號
114法登他000189,1,台南市分所：台南市中西區府前路一段155號之1
114法登他000189,2,台中市分所：台中市西區自由路一段140號4樓
114法登他000189,3,高雄市分所：高雄市前金區中正四路211號
114法登他000189,4,桃園市分所：桃園市桃園區中正路48巷2號
114法登他000189,5,新竹市分所：新竹市林森路29號4樓
114法登他000189,9,嘉義市分所：嘉義市中山路306號5樓
114法登他000189,12,花蓮縣分所：花蓮縣花蓮市公園路3號3樓
114法登他000189,13,台東縣分所：台東縣台東市中華路一段373號3樓
114法登他000189,14,澎湖縣分所：澎湖縣馬公市仁愛路24號2樓
