登記案號,序號,分事務所地址
114法登他000002,1,澎湖縣馬公市時裡里99之8號
114法登他000007,1,澎湖縣馬公市仁愛路24號2樓
114法登他000007,2,臺中市西區自由路1段140號4樓
114法登他000007,3,高雄市前金區中正四路211號
114法登他000007,4,臺南市中西區府前路1段155號之1
114法登他000007,5,桃園市桃園區中正路48巷2號
114法登他000007,6,新竹市林森路29號4樓
114法登他000007,10,嘉義市中山路306號5樓
114法登他000007,13,花蓮縣花蓮市公園路3號3樓
114法登他000007,14,臺東縣臺東市中華路一段373號3樓
114法登他000010,1,澎湖縣馬公市仁愛路24號2樓
114法登他000010,2,臺中市西區自由路1段140號4樓
114法登他000010,3,高雄市前金區中正四路211號
114法登他000010,4,臺南市中西區府前路1段155號之1
114法登他000010,5,桃園市桃園區中正路48巷2號
114法登他000010,6,新竹市林森路29號4樓
114法登他000010,10,嘉義市中山路306號5樓
114法登他000010,13,花蓮縣花蓮市公園路3號3樓
114法登他000010,14,臺東縣臺東市中華路一段373號3樓
114法登他000012,1,澎湖縣馬公市仁愛路24號2樓
114法登他000012,2,臺中市西區自由路1段140號4樓
114法登他000012,3,高雄市前金區中正四路211號
114法登他000012,4,臺南市中西區府前路1段155號之1
114法登他000012,5,桃園市桃園區中正路48巷2號
114法登他000012,6,新竹市林森路29號4樓
114法登他000012,10,嘉義市中山路306號5樓
114法登他000012,13,花蓮縣花蓮市公園路3號3樓
114法登他000012,14,臺東縣臺東市中華路一段373號3樓
114法登他000013,1,澎湖縣馬公市仁愛路24號2樓
114法登他000013,2,臺中市西區自由路1段140號4樓
114法登他000013,3,高雄市前金區中正四路211號
114法登他000013,4,臺南市中西區府前路1段155號之1
114法登他000013,5,桃園市桃園區中正路48巷2號
114法登他000013,6,新竹市林森路29號4樓
114法登他000013,10,嘉義市中山路306號5樓
114法登他000013,13,花蓮縣花蓮市公園路3號3樓
114法登他000013,14,臺東縣臺東市中華路一段373號3樓
114法登他000014,1,澎湖縣馬公市中華路369號
114法登他000015,1,"澎湖分事務所    澎湖縣馬公市成功街75號"
114法登他000017,1,"澎湖分事務所    澎湖縣馬公市成功街75號"
