登記案號,序號,分事務所地址
114法登他000013,1,嘉義市西區貴州街123號
114法登他000013,2,嘉義縣梅山鄉梅北村成功街63號
114法登他000050,1,桃園市中壢區復興路46號6樓
114法登他000050,2,臺中市西屯區安和路168號2樓之6
114法登他000050,3,嘉義市延平街448號12樓之2
114法登他000050,4,高雄市三民區九如二路366號3樓
114法登他000050,5,花蓮市自由街150號5樓
114法登他000053,15,嘉義市中山路306號5樓
114法登他000053,16,臺中市西區自由路1段140號4樓
114法登他000053,17,高雄市前金區中正四路211號
114法登他000053,18,臺南市中西區府前路1段155號之1
114法登他000053,19,桃園市桃園區中正路48巷2號
114法登他000053,20,新竹市林森路29號4樓
114法登他000053,26,花蓮縣花蓮市公園路3號3樓
114法登他000053,27,臺東縣台東市中華路一段373號3樓
114法登他000053,28,澎湖縣馬公市仁愛路24號2樓
114法登他000057,1,台中市大里區仁愛路175巷88號
114法登他000057,2,嘉義縣新港鄉潭大村潭子墘26之12號一樓
114法登他000089,15,嘉義市中山路306號5樓
114法登他000089,16,臺中市西區自由路1段140號4樓
114法登他000089,17,高雄市前金區中正四路211號
114法登他000089,18,臺南市中西區府前路1段155號之1
114法登他000089,19,桃園市桃園區中正路48巷2號
114法登他000089,20,新竹市林森路29號4樓
114法登他000089,26,花蓮縣花蓮市公園路3號3樓
114法登他000089,27,臺東縣台東市中華路一段373號3樓
114法登他000089,28,澎湖縣馬公市仁愛路24號2樓
114法登他000100,15,嘉義市中山路306號5樓
114法登他000100,16,臺中市西區自由路1段140號4樓
114法登他000100,17,高雄市前金區中正四路211號
114法登他000100,18,臺南市中西區府前路1段155號之1
114法登他000100,19,桃園市桃園區中正路48巷2號
114法登他000100,20,新竹市林森路29號4樓
114法登他000100,26,花蓮縣花蓮市公園路3號3樓
114法登他000100,27,臺東縣台東市中華路一段373號3樓
114法登他000100,28,澎湖縣馬公市仁愛路24號2樓
114法登他000109,1,嘉義市芳草里草地尾8號
114法登他000128,1,嘉義市東區圳頭里林森東路842巷27弄2號
114法登他000129,1,嘉義市西區保安四路52號
