登記案號,序號,分事務所地址
102法登他000004,1,桃園縣楊梅鎮中山北路1段159號
102法登他000049,1,台中市西區五權五街151號7樓之1之2之7
102法登他000049,2,高雄市左營區博愛三路12號6樓
102法登他000050,1,桃園縣桃園市南華街60號10樓之2
102法登他000107,1,台中市西屯區西平南巷6之6號
102法登他000138,1,新北市蘆洲區信義路37巷3號6樓
102法登他000138,2,台中市西區五權路1─150號
102法登他000157,1,聖靈重建教會高雄教會設於高雄市三民區平等路23巷20之4號
102法登他000157,2,聖靈重建教會台南教會設於台南市永康區中山北路70號8樓之2
102法登他000157,3,聖靈重建教會台中教會設於台中市美德街170之6號
102法登他000157,4,聖靈重建教會花蓮教會設於花蓮市民權八街60號5樓
102法登他000232,1,台中市市政路37號
102法登他000232,2,台北市大安區安和路1段29號10樓
102法登他000232,3,台北市北投區大業路65巷89號
102法登他000232,4,台南市北區西門路3段159號14樓
102法登他000232,5,高雄市三民區建安街86號2樓
102法登他000232,6,桃園縣桃園市大興西路2段105號12樓
102法登他000232,7,台北市北投區光明路276號
102法登他000232,8,新北市金山區西湖里4鄰西勢湖2之6號
102法登他000232,9,宜蘭縣宜蘭市民權新路208號1樓
102法登他000249,1,台北縣汐止市新台五路1段104號8樓
102法登他000258,1,台中市西屯區西平南巷6之6號
102法登他000259,1,台北市北投區光明路276號
102法登他000259,2,台北市北投區大業路65巷89號
102法登他000259,3,台北市大安區安和路1段29號10樓
102法登他000259,4,新北市金山區三界里7鄰14之5號
102法登他000259,5,桃園市大興西路2段105號12樓
102法登他000259,6,嘉義市林森東路343號1樓
102法登他000259,7,台中市市政路37號
102法登他000259,8,台南市北區西門路3段159號14樓
102法登他000259,9,高雄市三民區建安街94號
102法登他000259,10,台東市更生北路132巷38號
102法登他000259,11,台北市中山區民權東路1段67號9樓
102法登他000259,12,新北市永和區中正路417號10樓、10樓之1
102法登他000259,13,基隆市仁愛區仁五路8號3樓之1、之2、之3、之4
102法登他000259,14,屏東市建豐路2巷70號
102法登他000259,15,台北市中正區延平南路77號
102法登他000259,16,新北市三峽區介壽路2段138巷168號
102法登他000259,17,新北市新莊區新莊路114號
102法登他000259,18,新北市新店區中華路7號
102法登他000259,19,新北市林口區中山路91號3樓
102法登他000259,20,桃園縣平鎮市環南路184號3樓之1
102法登他000259,21,台中市東勢區東蘭路26之18號
102法登他000259,22,花蓮市光復街87號7樓
102法登他000283,1,高雄市前金區中正四路一四八號七樓
102法登他000286,1,宜蘭縣蘇澳鎮新城北路19之13號
102法登他000299,1,台北市廣州街200號
102法登他000332,1,台北市內湖區東湖路141之1號3樓
102法登他000367,1,台中市西區五權五街151號7樓之1之2之7
102法登他000367,2,高雄市左營區博愛三路12號6樓
102法登他000412,1,"台北市北區分事務所   台北市士林區德行東路314號1樓"
102法登他000412,2,"台北市南區分事務所 台北市南港區重陽路132號1樓"
