登記案號,序號,分事務所地址
109法登他000027,1,嘉義市西區貴州街123號
109法登他000027,2,嘉義縣竹崎鄉鹿滿村鹿山路60號
109法登他000032,1,嘉義分事務所：嘉義市大業街40巷8號1樓
109法登他000054,1,屏東縣內埔鄉建興新村100號
109法登他000054,2,雲林縣虎尾鎮平和里平和58之10號
109法登他000054,3,嘉義縣竹崎鄉灣橋村朴子埔170巷10弄5號
109法登他000109,1,嘉義分事務所：嘉義市大業街40巷8號1樓
109法登他000113,1,嘉義市東區圳頭里林森東路842巷27弄2號
109法登他000123,1,屏東縣內埔鄉建興新村100號
109法登他000123,2,雲林縣虎尾鎮平和里平和58之10號
109法登他000123,3,嘉義縣竹崎鄉灣橋村朴子埔170巷10弄5號
109法登他000156,1,嘉義市西區貴州街123號
109法登他000156,2,嘉義縣竹崎鄉鹿滿村鹿山路60號
109法登他000162,1,嘉義分事務所：嘉義市大業街40巷8號1樓
109法登他000175,1,嘉義市芳草里草地尾8號
