登記案號,序號,分事務所地址
109法登他000017,1,彰化縣彰化市陽明里慈生街72號
109法登他000035,1,彰化縣芳苑鄉草漢北路21號
109法登他000039,1,彰化縣和美鎮新庄里東發路190號
109法登他000049,1,彰化縣花壇鄉花秀路166號
109法登他000102,1,台北市中山區長春路137巷10號3樓
109法登他000146,1,彰化縣和美鎮新庄里東發路190號
109法登他000165,1,彰化縣彰化市中華路176號
109法登他000165,2,彰化縣二林鎮大成路1段558號
109法登他000165,3,彰化縣鹿港鎮中正路480號
109法登他000165,4,彰化縣鹿港鎮鹿東路2段888號
109法登他000165,5,雲林縣西螺鎮市場南路375號
109法登他000165,6,彰化縣二林鎮南光里安和街40巷28號
109法登他000165,7,彰化縣彰化市建寶里建寶街20號5至7樓
109法登他000165,8,彰化縣彰化市旭光路320號
109法登他000165,9,彰化縣員林市莒光路456號
109法登社000035,1,彰化縣花壇鄉長沙村禾田巷122號
