登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因 
049法登000115,1,1,王重吉,26,0490113,0490113,0490113,0冊0頁,,0,區樹文,財團法人南投縣私立南投仁愛之家,0490113,南投縣南投市民族路六一七號,以舉辦發展社會救助及社會福利事業為目的。,由各界捐助,南投縣政府四十七年十二月二十三日,永久,27100000,1,0850322,,,,,,,,,,,
050法登000121,1,1,王重吉,27,0500301,0500301,0500301,1冊27頁,,0,林振光,財團法人南投縣中興新村教會聚會所,0500301,南投縣南投市中興新村中正路一五四號,傳揚耶穌基督福音，領人歸主，並應以所捐財產辦理公益事務。,財團法人台北市教會聚會所捐助。,南投縣政府 四十九年十二月二十六日,永久,13850219,1,0500301,,,,,,,,,,,
057法登000174,1,1,王重吉,7,0830325,0830417,0830422,1冊7頁,,0,張徐雅梅,財團法人台灣省南投縣中興佛社,0830417,南投縣南投市中正路一五八號,為維護中興佛社弘揚佛法,由杜德三等捐助,南投縣政府、五十七年一月,永久,3154895,1,0830417,,,,,,,,,,,
057法登000176,1,1,宋富美,41,0570823,0570823,0570823,2冊11頁,,0,黃傳崇,財團法人台灣省日月潭文武廟,0570823,南投縣魚池鄉水社村中正路六十三號,宣揚教義、講經、勸善、濟貧、恤孤、其他社會公益慈善事業之舉辦。,由信徒捐贈。,南投縣政府57年05月23日,永久,1464337,1,0850910,,,,,,,,,,,
057法登000179,1,1,王重吉,3,0831117,0831121,0831123,1冊3頁,,0,梁金塗,財團法人草屯惠德宮,0831121,南投縣草屯鎮太平路二段二八七號,闡揚聖德宣化教義發揚固有民族精神，提高民道德兼辦社會慈善事業，促進社會福利為宗旨。,信徒捐助,南投縣政府,民國五七年九月十二日,172353709,1,0831121,,,,,,,,,,,
057法登000180,1,1,王重吉,13,0840708,0580414,0840713,1冊13頁,,0,廖　煌　柱,財團法人臺灣省埔里鎮醒靈寺,0580414,南投縣埔里鎮愛蘭里梅村路一號,宏揚教義復興文化重整道德兼慈善事業促進社會福利,信徒捐助,南投縣政府．中華民國五七年二月十六日,永    久,29507263,1,0840710,,,,,,,,,,,
059法登000193,1,1,宋富美,43,0591218,0591218,0591218,2冊13頁,,0,李添丁,財團法人台灣省草屯太清宮,0591218,南投縣草屯鎮新厝里太平路二段一一四號,以崇奉太上老君及歷代聖賢宏揚教義、復興中華文化，倫理道德闡揚道家學術思想藉以教化社會移風易俗，並舉辦社會慈善事業，促進國家民族之繁榮及地方福利為宗旨。,由李秋宣等捐助。,南投縣政府59年12月18日。,永久,656820,1,0851030,,,,,,,,,,,
060法登000202,1,1,王重吉,10,0600825,0600825,0600825,1冊10頁,,0,顧珮箴,財團法人私立南開工商專科學校,0600825,南投縣草屯鎮中正路五六八號本校校內,為遵照國家教育政策暨現行教育法令之規定辦理私立南開工商專科學校，並謀其發展。,由顧李淑華、顧懷祖、顧不先等先生所捐助。,奉教育部六十年七月十九日台（六十）專字第一六三三五號令立案。,永  久,540137091,1,0840607,,,,,,,,,,,
065法登000048,1,1,王重吉,25,0651007,0651007,0651007,1冊25頁,,0,謝招宏,財團法人臺灣省南投縣私立同德家事商業職業學校董事會,0651007,南投縣草屯鎮中正路培英巷八號,為尊照國家教育政策暨現行教育法令之規定以辦理職業學校，並謀其健全發展,由林英章、葉志輝、胡忠民、林淑  、郭海唇、馬支援、趙海金等捐助。,臺灣省政府教育廳　六二 年七月十二日,永久,78412737,1,0651007,,,,,,,,,,,
070法登000304,1,1,王重吉,28,0700219,0700219,0700219,1冊28頁,,0,韓雨霖,財團法人台灣省私立光明仁愛之家,0700219,南投縣埔里鎮鯉魚路二五之三號,管理營運所屬一切財，協助政府創辦並發展社會慈善救助事業及促進健全信仰宣揚中華文化為宗旨。,由韓雨霖等捐助。,臺灣省政府社會處七十社五字第五八0四號函  中華民國七十年二月十九日,永久,5212640,1,0700219,,,,,,,,,,,
