登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因 
086法登社000004,2,1,江錫麟,4,0860614,0860614,0860717,1冊7頁,,0,徐連斌,社團法人苗栗縣救難協會,0860614,苗栗市國華路七三四號,各項意外事故、車禍、山難、水難、火災等緊急救援以及公益活動之支援。,社會各界捐助,苗栗縣政府中華民國八十六年六月十日府社政字第六一０七四號函,永久,2500000,1,0860711,0900924,0860731,,,,,,,,,
086法登財000002,1,1,江錫麟,2,0860513,0860513,0860611,1冊4頁,,0,張維海,財團法人苗栗縣私立新苗智能發展中心,0860513,苗栗市建功里和平路八十五號,一、兒童福利。                                                      二、殘障福利。,捐助。,苗栗縣政府八六府社褔字第五一五二一號  八十六年五月九日,永久性,3882500,1,0860605,0900913,,,,,,,,,,
086法登財000003,1,1,江錫麟,3,0860520,0860520,0860528,1冊7頁,,0,徐耀昌,財團法人廖志坤文教基金會,0860520,苗栗縣頭份鎮仁愛里中山路二三三號,鼓勵頭份、南无、三灣三鄉鎮清寒子弟向學，以文教基金會孳息作為清寒獎學金。,由廖志坤母親張秋子女士捐出,苗栗縣政府八十六年五月七日八六府教社字第五六五一０號,永久,2500000,1,0860528,0900913,,,,,,,,,,
086法登財000013,1,1,江錫麟,13,0861023,0861115,0861127,1冊67頁,,0,董事長,財團法人台灣省苗栗縣私立中興高級商工職業學校,0861115,苗栗縣竹南鎮大營路二一一號,以創辦苗栗縣私立中興高級商工職業學校並謀其發展為目的。,創辦人捐贈。,台灣省政府教育廳五一年八月十一日核准設立許可。,無限期,18726281,1,0861127,0900913,,,,,,,,,,
086法登財000014,1,1,江錫麟,10,0861023,0861023,0861108,1冊52頁,,0,吳郭靜英,財團法人天生文教基金會,0861023,苗栗縣苑裡鎮信義路三九號,本會以宣揚「仁民愛物」之仁愛精神與行為為宗旨。,捐助,苗栗縣政府教育局八十三年五月十八日八三府教社字第０四六八四九號,永久,2000000,1,0861107,0900913,,,,,,,,,,
086法登財000020,1,1,李添興,14,0861211,0861211,0861213,1冊73頁,,0,王文貴,財團法人苗栗縣惠勝王萬生紀念公益基金會,0861211,苗栗市北苗里二鄰為公路三西巷十一號,以舉辦或捐助社會福利為目的。,由王文貴等捐助,苗栗縣政府民國八十六年十月八日府社褔字第一二九七四五號函,永久,10000000,1,0861211,0900913,,,,,,,,,,
087法登他000001,1,2,李添興,13,0870603,0870603,0870604,1冊13頁,,0,陳國樑,財團法人台灣省苗栗縣私立中興高級商工職業學校,0861115,苗栗縣竹南鎮大營路二一一號,以創辦苗栗縣私立中興高級商工職業學校並謀其發展為目的。,創辦人捐贈。,台灣省政府教育廳五一年八月十一日核准設立許可。,無限期,29238638,1,0870603,0900913,,,,,,原財產總額新臺幣壹仟捌佰柒拾貳萬陸仟貳佰伍拾壹元變更為新臺幣貳仟玖佰貳拾夰萬捌仟陸佰夰拾捌元。,,,,
087法登他000002,1,2,李添興,23,0870716,0870716,0870717,1冊9頁,,0,黃兒玉,財團法人臺灣省苗栗縣苗栗市福星山淨覺院,0870507,苗栗縣苗栗市大同里十五鄰福星山十八號,宣揚大乘佛教、授徒靜修、研究佛理、敦睦信徒、興辦公益慈善文化事業、增進社會福祉。,由原私建淨覺院管理人及信徒捐助,苗栗縣政府六十八年一月九日六八府民行字第二四六四號函,永久,21965498,1,0870717,0900913,,,,,,財產總額變更為 新台幣 貳仟壹佰玖拾陸萬伍仟肆佰玖拾捌元整。,,,,
087法登他000003,1,2,許瑞助,15,0871102,0871102,0871103,1冊19頁,,0,龍和順,財團法人苗栗縣私立龍德高級家事商業職業學校,0861124,苗栗縣苑裡鎮房裡里南房七十五之一號,為遵照國家教育政冊暨現行教育法令之規定，辦理龍德高級家事商業職業學校，並謀其健全發展。,捐助,臺灣省政府教育廳六十二年六月一日,永久,52523986,1,0871102,0901004,,,,,,,,,,
087法登他000004,2,2,許瑞助,8,0871109,0871110,0871119,1冊1頁,,0,林明聰,社團法人苗栗縣脊髓損傷者協會,0870224,苗栗縣頭份鎮蟠桃里七鄰信三街十二巷十五號一樓,本會以結合群力，協助脊髓損傷者自立、自強，重新適應社會生活為宗旨。,捐助　　　　　,苗栗縣政府八三府社字第八五九二三號八十三年七月二十四日,永久　,3027231,1,0871111,0901004,,,,,,,,,,
087法登他000005,1,2,許瑞助,12,0871218,0871218,0871219,1冊18頁,,0,戴琦霞,財團法人台灣省苗栗縣私立仁德高級醫事職業學校,0861124,苗栗縣後龍鎮溪洲里仁德路一號,培養醫事人才為國家服務為社會謀福利,捐助,中華民國六二年五月十一日台灣省政府教育廳,無限期,361167864,1,0871218,0900926,,,,,,,,,,
087法登社000004,2,1,李添興,10,0870522,0870525,0870602,1冊4頁,,0,邱增雄,社團法人苗栗縣居家老人福利協會,0870525,苗栗縣頭份鎮興隆里十六鄰興一街五號,居家老人及其眷屬，凡生活發生困難，生理衰老或其他事故致生活發生障礙時，由本會協助改善，使其安享健康愉快之生活。,會員及社會善心人士捐助,苗栗縣政府民國七十六年三月二十三日,無限期,7655221,1,0870601,0900924,,,,,,,,,,
087法登社000005,2,1,李添興,11,0870608,0870608,0870617,1冊5頁,,0,王培珠,社團法人苗栗縣生命線協會,0870608,苗栗市清華里長安街十五號三樓,本會以發揚博愛精神，運用專業知識技能辦理生命線社會服務工作為目標。,會員會費，董監事及社會善心人士捐助,苗栗縣政府。中華民國八十六年十一月二十四日。,永久,2341836,1,0870617,0900924,,,,,,,,,,
087法登社000006,2,1,許瑞助,13,0870903,0870910,0870915,1冊6頁,,0,吳泰丞,社團法人苗栗縣聾啞福利協進會,0870910,苗栗市高苗里光復路九號,協助聾啞殘障者身心平衡，發揮自助助人自強不息的精神。辦理聾啞殘障者的福利、教育。透過職業訓練使之擁有一技之長，扶助其自立更生，公平競爭的機會。發動社會愛心人士力量，鼓勵聾啞殘障者發揮殘而不廢的潛能，積極參與社會建設。結合慈善愛心社團，共同為促進三民主義大同世界理想而努力。,捐助,苗栗縣政府。八七府社政字第八七０００二三０五三號,永久,175815,1,0870915,0900924,,,,,,,,,,
087法登社000007,2,1,許瑞助,14,0871028,0871105,0871106,1冊7頁,,0,理事長,社團法人苗栗縣大慈功德會,0871105,苗栗市上苗里站前一號十六樓之六號,藉推行健身氣功和弘揚佛法來達到全民身體健康和淨化人心，進而帶動社會善良祥和的氣氛並提供急難、殘病、孤貧之救助。,會費、捐贈,苗栗縣政府。八十七年府社政字第8700064435號。,永久,3961897,1,0871106,0900924,,,,,,,,,,
087法登財000007,1,1,李添興,22,0870403,0870507,0870508,2冊18頁,,0,羅文乱,財團法人臺灣省苗栗縣私立蘭平托兒、安養托老所,0870507,臺灣省苗栗縣苗栗市建功里中山路一六六號,本所為促進兒童身心健康發展，誘導兒童智識與德性，協助家庭婦女工作及適應目前老人社會之須求，照顧關懷老人生活，促進兒童老人福祉。,捐助,苗栗縣政府。民國五十一年十一月九日,無限期,166872.3,1,0870507,0900913,,,,,,,,,,
088法登他000001,1,2,許瑞助,13,0880114,0880118,0880119,1冊13頁,,0,陳國樑,財團法人台灣省苗栗縣私立中興高級商工職業學校,0861115,苗栗縣竹南鎮大營路二一一號,以創辦苗栗縣私立中興高級商工職業學校並謀其發展為目的。,創辦人捐贈。,台灣省政府教育廳五一年八月十一日核准設立許可。,無限期,36987763,1,0880119,0900913,,,,,,,,,,
088法登他000002,1,2,許瑞助,18,0880209,0880209,0880212,2冊6頁,1,0,王聰畬,財團法人王利夫文教基金會,0870317,苗栗縣苑裡鎮苑南里十一鄰天下路二三號,拠助苗栗縣苑裡鎮內，家境清寒、學業優秀、品德優良之學生及興亞公司之相關企業機構之員工就學子女或贊助本鎮社會公業事業藝文活動等為宗旨。,王利夫之親屬捐助,苗栗縣政府民國八十五年五月一五日府教社字第五二四五四號函。,永久性質,10000000,1,0880209,0900913,,,,,,,,,,
088法登他000003,1,2,許瑞助,21,0880330,0880330,0880331,1冊4頁,,0,林火順,財團法人臺灣省苗栗縣私立君毅高級中學,0870317,苗栗縣竹南鎮山佳里一鄰公義路二四五號,發展地方教育,由董事長出資及捐贈收入,臺灣省教育廳四十七年十二月九日教二字第六七號,永久,302916942,1,0880330,0900913,,,,,,,,,,
088法登他000004,1,2,許瑞助,16,0880408,0880518,0880519,1冊1頁,,7,魏綸洲,財團法人台灣省苗栗縣私立育民高級工業家事職業學校,0870224,苗栗縣苗栗市水源里八鄰三十七號,本財團法人設立之目的為遵照國家教育政策暨現行教育法令之規定辦理職業學校並謀其健全發展,捐助,台灣省政府教育廳五十九年二月十八日教三字第一八一三七號令許可,無限期,70312361,1,0880518,0900913,,,,,,,,,,
088法登他000005,1,2,許瑞助,19,0880408,0880408,0880412,2冊9頁,,15,劉錦志,財團法人臺灣省苗栗縣私立建臺高級中學,0870331,苗栗縣苗栗市福麗里至公路二五一號,創辦私立建臺高級中學，並謀其發展。,本財團法人董事會籌資購買土地建築校舍購買設備為校產，供本校教育使用。,教育部。中華民國三十七年八月二十八日,無限期,422725674,1,0880408,0901004,,,,,,,,,,
088法登他000006,2,2,許瑞助,1,0880413,0880709,0880709,1冊1頁,,2,林煥田,社團法人苗栗縣身心障礙福利協進會,0860502,苗栗縣造橋鄉大西村十字路六十九之九號,結合本縣殘障（各類），積極爭取殘障者人權，促進殘障權益，發揮互助精神。,捐助,苗栗縣政府八五府社政字第一一一一七六號，八十五年十月一日,永久,407180,1,0880709,0900924,,,,,,,,,,
088法登他000007,1,2,許瑞助,4,0880413,0880506,0880507,1冊9頁,,0,董事長,財團法人苗栗縣後備軍人獎學基金會,0860819,苗栗市府前路五六號,鼓勵優秀後備軍人及子女求學向上，培育國家英才，貢獻社會。,苗栗後備軍人捐助,中華民國六十九年五月十二日,無限期,4150560,1,0880506,0900913,,,,,,,,,,
088法登他000008,1,2,許瑞助,24,0880413,0880506,0880507,1冊10頁,,0,陳國樑,財團法人竹信社會福利基金會,0870507,苗栗縣竹南鎮民族街八七號二樓,以舉辦、協助推展或捐助社會福利事業，致力提昇社會生活品質，促進社會和諧發展為宗旨。,由保證責任苗栗縣竹南信用合作社捐助,苗栗縣政府八十七年三月十八日府社福第八七００００五八四四號,永久,20000000,1,0880506,0900913,,,,,,,,,,
088法登他000009,2,2,許瑞助,4,0880708,0880713,0880713,1冊4頁,,0,理事長,社團法人苗栗縣救難協會,0860614,苗栗市國華路七三四號,各項意外事故、車禍、山難、水難、火災等緊急救援以及公益活動之支援。,社會各界捐助,苗栗縣政府中華民國八十六年六月十日府社政字第六一０七四號函,永久,2500000,1,0880713,0900924,,,,,,,,,,
