登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因 
058法登000002,1,1,莊金昌,2,0581101,0581128,0581128,1冊4頁,,0,王廣慶,財團法人私立中州工業專科學校,0581128,彰化縣員林鎮山忶路一００號,創立學校教育青年，培養人才。,創辦人捐助,民國五八年十一月二五日,永久,5718967,1,0850307,0921208,,,,,,,,,,
059法登000001,1,1,莊金昌,4,0591001,0591007,0591007,1冊8頁,,0,吳崙,財團法人彰化縣警化堂,0591007,彰化縣員林鎮三義里新生路十五號,宣揚教義,修持戒律提高國民道德,與辦理慈善公益事業,社會福利為宗旨。,財產收益,信徒捐款,油香收入,其他。,中華民國五十九年九月十日,永久,1643279,1,0591007,0921208,,,,,,,,,,
059法登000002,1,1,莊金昌,3,0590901,0590926,0590926,1冊6頁,,0,瑪喜樂,財團法人彰化縣私立基督教嘉樂保育院,0590926,彰化縣二林鎮大成路三三號,發展社會福利扶助傷殘小兒麻痺兒童,瑪喜樂捐助,中華民國五十九年五月二十四日,不定期,1598942,1,0590926,0921208,,,,,,,,,,
060法登000001,1,1,莊金昌,5,0600101,0600429,0600429,1冊10頁,,0,謝謀,財團法人彰化縣武聖宮,0600429,彰化縣埔心鄉東門村太平路四九號,本宮以崇奉三教聖神仙佛尊神揚名聖法,宣化教義,而重整道法,兼辦慈善公益~,從進社會福利為宗旨,信徒捐妿、油香收入、其他,中華民國六十年三月十五日,無限期,901904,1,0850307,0921208,,,,,,,,,,
060法登000002,1,1,莊金昌,6,0600901,0600908,0600908,1冊12頁,,0,蔡吉雄,財團法人彰化縣妙化堂,0600908,彰化縣員林鎮惠來里光明街一四一巷二十號,宣揚教義，重整道德，兼辦慈善公益事業，圖謀社會福利為宗旨，及關於信慈善互功並合於前項目的事項。,信徒及各界捐贈收益,中華民國六十年八月十一日,無限期,36246100,1,0600908,0921208,,,,,,,,,,
060法登000003,1,1,莊金昌,7,0600101,0600223,0600223,1冊14頁,,0,江林彩鳳,財團法人台灣省彰化縣基督教浸信宣道會,0600223,彰化縣員林鎮育英路三十七巷十五之二號,以宣揚基督之福音領導世人為依基督,造就信徒靈性,促進教會之發展並以基督拾己救人之精神,竭誠服務社會。,信徒自由樂捐及其他熱心基督教人士或團體捐贈之。,中華民國六十年十二月八日,無限期,404300,1,0601223,0921208,,,,,,,,,,
061法登000001,1,1,莊金昌,8,0610101,0610110,0610110,1冊15頁,,0,吳振鐸,財團法人台灣省彰化縣私立女子文興女子高級中學,0610110,彰化縣田中鎮中潭里員集路二七七號,創立學校、教育青年、培育人材。,天主教教廷補助,聖徒捐妿耶穌聖心修女會補助,學生學雜費收入等其計新台幣6347134元,中華民國60年11月15日,不定期,6347104,1,0610110,0921208,,,,,,,,,,
061法登000002,1,1,莊金昌,9,0610101,0610113,0610113,1冊17頁,,0,王永成,財團法人彰化縣私立鹿港泉郊救濟院,0610113,彰化縣鹿港鎮中興里民權路十八號,為各種救濟設施,設立施醫所,助產所,育幼所,習藝所,及其他救濟事業。,捐助,中華民國四十年十二月十一日,不定期,202831,1,0610113,0921208,,,,,,,,,,
061法登000003,1,2,莊金昌,7,0610101,0610229,0610229,1冊14頁,2,1,江林彩鳳,財團法人台灣省彰化縣基督教浸信宣道會,0600223,彰化縣員林鎮育英路三十七巷十五之二號,以宣揚基督之福音領導世人為依基督,造就信徒靈性,促進教會之發展並以基督拾己救人之精神,竭誠服務社會。,信徒自由樂捐及其他熱心基督教人士或團體捐贈之。,中華民國六十年十二月八日,無限期,441765,1,0610229,0921208,,,,,,,,,,
061法登000004,1,1,莊金昌,10,0610120,0610516,0610516,1冊19頁,,0,郭忠鷹,財團法人台灣省彰化縣私立正德高級工商職業學校,0610516,彰化縣彰化市莿桐里莿桐莊二十六之五號,為創辦私立正德高級工商職業學校並謀其發展為目的。,董事會捐贈,學雜費之收入,開辦費由創辦人陳碧玉,郭英珠捐土地13筆2.9164公頃,道路用地4筆計165.7,中華民國陸拾壹年伍月壹日。,無限期存立,4395630,1,0850123,0921208,,,,,,,,,,
