登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因 
040法登000001,2,1,,1,0400321,0400322,0400324,1冊1頁,,0,蔡  璋,社團法人台灣省琉球人民協會,0400322,基隆市中正區水產路二八號,聯絡感情發揚互助精神提高居台灣之琉球人民遵守政府法令以謀生活之改善,捐助,卅七年七月十五日台灣省政府社字第三四號,不定期,1500,1,0400322,0921218,,,,,,,,,,
043法登000002,1,1,朱  復,2,0430925,0431104,0431104,1冊2頁,,0,謝貫一,財團法人基隆市私立博愛救濟院,0431104,基隆市暖暖區博愛路三十號,以收容教養孤苦無依兒童及老弱殘廢貧民授與各種知識及謀生技能,捐助及補助,基隆市政府四十一年十一月十五日,不定期,2280000,1,0431104,0921218,,,,,,,,,,
045法登000003,1,1,朱  復,3,0451004,0451012,0451005,1冊3頁,,0,楊炳煌,財團法人基隆中正基督長老教會,0451012,基隆市中正區信五路四七號禮拜堂,宣傳教義勸人為善福利社會,捐助,基隆市政府四十五年九月廿六日(四五)基府民行字第零貳號　　　　　　,不定期,51756,1,0451012,0921218,,,,,,,,,,
045法登000004,1,1,朱  復,4,0450416,0451122,0451107,1冊4頁,,0,譚世鹽,財團法人基隆教會,0451122,基隆市仁二路延平街四十八號,傳揚耶穌十架福音,由信徒自動樂捐,四十五年十月廿七日,不定期,53500,1,0451122,0921218,,,,,,,,,,
045法登000005,1,1,闞  超,5,0450224,0470925,0470929,1冊5頁,,0,趙執中,財團法人台灣省基隆區司法保護分會,0470925,基隆市東信二路崇法巷五十四號,以保護出獄人輔導就業安定社會為目的,補助及捐助,基隆市政府四十七年六月十七日(四七)基府民社字第一五八九七號,不定期,167245,1,0470929,0921218,,,,,,,,,,
047法登000006,2,1,闞  超,6,0470730,0470817,0470816,1冊6頁,,0,董建華,社團法人海洋漁業行,0470817,基隆市中正三路成功巷十七號,以增加生產營利為目的,股東投資,四十七年四月卅日,不定期,130000,1,0470817,0921218,,,,,,,,,,
048法登000007,1,1,闞  超,7,0480714,0490312,0490312,1冊7頁,,0,江嘉輝,財團法人基隆江氏獎助學金運用管理董事會,0490312,基隆市仁三路七十四號,為輔助基隆江姓宗親子姪無力就讀及獎勵在校努力學業,由江姓樂捐,四十九年三月四日基隆市政府基府民社字第八二七０號,不定期,67000,1,0490312,0921218,,,,,,,,,,
049法登000008,1,1,闞  超,8,0490920,0501225,0501225,1冊8頁,,0,陳水坤,財團法人基隆中山基督教會,0501225,基隆市中山四路廿九號之一,為宣揚基督教義勸人行善福利社會為目的,由會員自由認捐,基隆市政府四十九年九月一日基府民行團字第０四號,不定期,66975,1,0501225,0921218,,,,,,,,,,
050法登000009,1,1,闞  超,9,0500719,0500908,0500824,1冊9頁,,0,郭建德,財團法人基隆市閩南同鄉會,0500908,基隆市仁愛區新民巷五號,聯絡同鄉之情感發揮互助精神協助社會舉辦公益事業為宗旨,由會員認捐,五十年三月卅一日,不定期,173000,1,0500908,0921218,,,,,,,,,,
052法登000010,1,1,闞  超,10,0520817,0520824,0520823,1冊10頁,,0,簡  乾,財團法人台灣省基隆市極樂寺,0520824,基隆市信二路一一六號,宣揚佛教教義廣佈善導濟世救眾,自由捐助,基隆市政府五十一年十一月廿九日基府民行字第四七六五四號,不定期,525600,1,0520824,0921218,,,,,,,,,,
