登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因 
044法000001,1,1,王復生,13,0441014,0441024,0441026,1冊13頁,,0,費聲遠,財團法人天主教會花蓮教區,0441024,花蓮市中美崙民立里中學路二十五之一號,供應本教區為舉行天主教儀式宣揚天主教教義及辦理慈善社會教育事業所需之一切設備及經費。,信友捐助,台灣省政府民政廳民國四十四年八月八日,永久,978052,1,0850514,0441028,0441028,,,,,,,,,
047法000001,1,1,邱同印,7,0471119,0471119,0471123,1冊7頁,,0,貝靈恩,財團法人台灣省花蓮縣基督教女教士差會,0471119,花蓮市美崙中學路八十四號,傳播基督福音救養貧苦盲女及義務醫療牙疾為目的。,本會之美國總會撥給,四十七年十月二十三日花蓮縣政府府萍民一字第五五四六六號,永久,459000,1,0850503,0471125,0471125,,,,,,,,,
050法000001,1,1,李秋銘,1,0500301,0500315,0500323,1冊1頁,,0,張子模,財團法人花蓮市教會聚會所,0500315,花蓮市明禮路三號,成立聚會傳揚基督引人歸主,信徒自由捐助,花蓮縣政府五十年二月二十二日府民行字第一七八號函,永久,150000,1,0850502,0850502,0850502,,,,,,,,,
051登000001,1,1,陳如玲,18,0510623,0510723,0510726,1冊18頁,,0,王步融,財團法人台灣省花蓮縣私立海星女子初級中學董事會,0510723,花蓮縣新城鄉嘉里村新莊三十五之二號,發展東部女子教育鼓勵進修為國家培植青年,由天主教聖吳甦樂羅馬聯合女修會捐助,四十八年九月二十一日花蓮縣政府府萍教一字第四五一０四號,永久,3361705,1,0850527,0510730,0510730,,,,,,,,,
051登000002,1,1,王復生,10,0510716,0511115,0511120,1冊10頁,,0,趙緘三,財團法人花蓮縣私立四維中學董事會,0511115,花蓮市中山路六十二號,為創辦四維中學並謀其發展為目的。,,台灣省政府民國五十一年八月七日教二字第42523號,,778000,1,0850510,0511122,0511122,,,,,,,,,
054登000001,1,1,王復生,6,0540709,0540709,0540801,1冊6頁,,0,陳瑞山,財團法人台灣基督長老教會玉山神學院,0540709,花蓮縣壽豐鄉池南村池南一００號,傳揚基督福音，培養山胞傳教人材，發展台灣基督長教會，辦理教會公益事業。,由基督長老教會信徒所捐獻。,花蓮縣政府民國五十四年四月,,1607632,1,0850510,0540802,0540802,,,,,,,,,
055登000001,1,1,許仕楓,4,0560920,0551201,0551206,1冊4頁,,0,陳瑞山,財團法人北部台灣基督長老教會東部中會,0551201,花蓮市節約街三０號,為圖謀基督教健全之發展，而幫助中會之傳道事工，並致力管理本會所屬資產。,由台灣基督長老教會北部大會所捐助指定為東部中會之資產。,台灣省政府民政廳民國五十五年十月二十六日,永久,1170932,1,0850502,0850502,0850502,,,,,,,,,
055登000002,1,1,王復生,14,0551224,0560214,0560216,1冊14頁,,0,黃金鳳,財團法人台灣省花蓮縣私立國光商工職業學校,0560214,花蓮市中正路四十六號,創設花蓮縣私立國光商工職業學校，培育工商專業人才。,基本財產由各董事捐助,台灣省政府教育廳民國五十五年十一月二十八日,永久,2155927,1,0850515,0560218,0560218,,,,,,,,,
056登000002,1,2,王復生,18,0560425,0560505,0560508,1冊18頁,,0,王步融,財團法人台灣省花蓮縣私立海星女子中學董事會,0510723,花蓮縣新城鄉嘉里村新莊一０七號,發展東部女子教育鼓勵進修為國家培植青年,由天主教聖吳甦樂羅馬聯合女修會捐助,四十八年九月二十一日花蓮縣政府府萍教一字第四五一０四號,永久,5759528,1,0850527,0560510,0560510,,,,,,,,,
057登000005,1,2,王復生,1,0571120,0571121,0571223,1冊1頁,,0,丁榖詒,財團法人花蓮市教會聚會所,0500315,花蓮市明禮路三號,成立聚會傳揚基督引人歸主,信徒自由捐助,花蓮縣政府五十年二月二十二日府民行字第一七八號函,永久,538652,1,0850502,0850502,0850502,,,,,,,,,
