登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因 
063法登000001,1,1,楊印騰,1,0631111,0631130,0631228,1冊1頁,,0,黃國存,財團法人金門縣沙美中華基督教會,0631130,金門縣金沙鎮沙美門牌一二二號,傳揚基督引人歸主及舉辦社會福利事業,由眾信徒( 隱名式 )捐助,金門縣政府、民國六十三年八月十六日,永無限期,16520,1,0631130,0640522,,,,,,,,,,
068法登000002,1,1,顏大和,7,0680227,0680227,0680306,1冊13頁,,0,蘇其生,財團法人福建省金門縣金城鎮東門里代天府,0680227,金門縣金城鎮東門里珠浦東路１２─１號,供奉本廟神靈春火，敦鄰睦里，增進本里福利公益,由本里眾信徒(隱名式)捐助,金門縣政府、68.02.20.(68)坊民字第1596號,永無期限,519845.8,1,0680227,0680227,,,,,,,,,,
074法登000001,1,1,曾孝賢,1,0741118,0741126,0741130,1冊1頁,,0,汪王屏,財團法人山外基督教會,0631130,金門縣金湖鎮新市里林森路３７號,傳揚耶蘇基督救人之福音,基督教信徒個人自由奉獻,金門縣政府、(74)撫民字第10990號簡便行文表,永久,395897,1,0741126,0741126,,,,,,,,,,
077法登000002,1,1,林勤綱,2,0770316,0770323,0770326,1冊3頁,,0,吳啟騰,財團法人金門吳氏基金會,0770323,金門縣金城鎮莒光路一七０號,協建金門吳氏宗祠，興辦急難扶助，獎助勤學，社會慈善暨公益事業,會員或吳氏裔孫特別捐助,金門縣政府、77.03.04.(77)撫民字第2081號,永久,0,1,0770323,0770323,,,,,,,,,,
078法登000003,1,1,趙家光,4,0781027,0781027,0781129,1冊7頁,2,2,李炎改,財團法人金門縣忠義廟基金會,0781027,金門縣金湖鎮新市里林森路六號。,捐獻籌建忠義廟藉以規過勸善、發揚忠孝節義並協助政府推行政令、        舉辦社會福利慈善事業為宗旨。,捐獻。,七十八年九月二十九日金門縣政府,永久,1020000,1,0781027,,0820901,,,,,,,,,
078法登000004,1,1,金延華,5,0781109,0781110,0781114,1冊9頁,,0,鄭增銅,財團法人福建更生保護會,0781110,金門縣金寧鄉仁愛新村五號,保護出獄人，使其自立更生，適於社會生活，預防再犯，以維社會安寧為目的,林德甫、張邦育、蔡光林各捐助及法務部補助,法務部七十八年九月十八日法保字第一六二０二號,無限期,3100000,1,0781110,0781201,0781201,,,,,,,,,
079法登000001,2,1,趙家光,6,0790517,0790517,0790518,1冊11頁,,0,理事長,社團法人福建省金門縣農會,0790517,金門縣金城鎮民生路六號,保障農民權益，提高農民知識技能，促進農業現代化，增加生產收益        ，改善農民生活，發展農村經濟,事業基金，法定公積金，盈餘提撥,七十七年七月七日金門縣政府,永久,18856362,1,0790518,0790518,,,,,,,,,,
079法登000005,1,2,施俊堯,5,0790609,0790609,0790714,1冊9頁,,0,王和祥,財團法人福建更生保護會,0781110,金門縣金寧鄉仁愛新村五號,保護出獄人，使其自立更生，適於社會生活，預防再犯，以維社會安寧為目的,林德甫、張邦育、蔡光林各捐助及法務部補助,法務部七十八年九月十八日法保字第一六二０二號,無限期,3100000,1,0790609,0791106,,,,,,,,,,
079法登000006,1,1,葉進雄,,0791113,0791129,0791130,1冊17頁,,0,王水彰,財團法人金門縣退除役軍人協會獎學基金會,,金門縣金城鎮民生路五二號二樓,以獎學基金所得利息，作為清寒會員子女獎助學金，藉以獎掖後進，鼓勵敦品向學，並協助政府推行政令為宗旨,社會人士及有關機關捐助,金門縣政府、79.10.5.(79)縣民字第10613號,永久,1000000,1,0791129,0791206,0791206,,,,,,,,,
079法登000007,1,1,趙家光,8,0791123,0791123,0791124,1冊15頁,,0,董事長,財團法人金門縣薛氏基金會,0791123,金門縣金城鎮珠沙村六十號,本會為便利及強化財產管理，創辦各項社會福利事業為宗旨,捐獻,七十九年四月十二日金門縣政府,永久,2020000,1,0791124,0791124,,,,,,,,,,
080法登000001,1,1,趙家光,10,0800528,0800528,0830505,1冊19頁,,0,董事長,財團法人歐陽氏基金會,0800528,金門縣金城鎮歐厝四十號歐陽宗祠,團結宗親力量，善用鄉村資源，強化財產管理，興辦社會公益慈善事        業,樂捐,八十年三月九日金門縣政府,無限期,245700,1,0800528,0800528,,,,,,,,,,
080法登000003,2,1,林慶宗,12,0800919,0801102,0801106,1冊23頁,,0,余國,社團法人上庫保生大帝廟慈善會,0801102,金門縣烈嶼鄉上岐村上庫２７號,管理保生大帝廟，協辦廟會慶典，敦睦鄉誼，互助合作，改良民俗，辦理急難救助及公益事業,會員捐款，國內外鄉親特別捐助，陵水湖租金收入,金門縣政府、79.10.08.(79)縣民字第一０六九０號,無限期,804171,1,0801102,0810124,,,,,,,,,,
080法登000004,1,1,林慶宗,13,0801106,0801129,0801204,1冊25頁,,0,汪王屏,財團法人金門基督教會,0801129,金門縣金城鎮珠浦北路三十號,傳揚救主耶穌基督福音，引領世人得救歸主，走向永生光明之路,基督教信徒個人自由奉獻,金門縣政府、縣民字第一一二三一號,永久,1350442,1,0850702,0850702,,,,,,,,,,
081法登000002,2,1,趙家光,,0810924,0820222,0820226,1冊29頁,,0,陳大吉,社團法人金門縣山外村陳氏宗親會,,金湖鎮山外村陳氏宗祠堂,以發揚固有宗族關係與倫理精神，提倡敦親睦族，互助互愛，患難相扶，促進家族團結，增進宗親福利，進而培養民族意識與國家觀念為宗旨,,金門縣政府、81.08.25.(81)縣民字第10800號,,0,1,0820222,0820618,0820618,,,,,,,,,
081法登000050,1,1,洪培根,14,0810326,0810424,0840427,1冊27頁,,0,黃奕展,財團法人金門縣汶浦黃氐宗親基金會,0810424,金門縣金沙鎮汶沙里后浦頭四十一號,本會為便利及強化財產管理，創辦社會各項福利慈善事業為宗旨,宗親及社會熱心人士捐助,金門縣政府、中華民國八十一年二月廿六日、縣民字第二二五六號,無限期,4250120,1,0850420,0850420,,,,,,,,,,
082法登000002,1,1,趙家光,16,0820310,0820310,0820315,1冊31頁,,0,董事長,財團法人忠孝新村文教基金會,0820310,金門縣金沙鎮忠孝新村慈航寺,本法人宗旨係本推行社區發展及社會文教建設，並發揚社會扶助精神,由捐助人黃景章等熱心人士捐助,八十一年十二月三十日金門縣政府,永久存在,3000000,1,0820315,0820315,,,,,,,,,,
082法登000003,1,1,趙家光,19,0820508,0820508,0820513,1冊37頁,,0,董事長,財團法人金門縣瓊林蔡氏十七郎公裔孫基金會,0820508,金門縣金湖鎮瓊林村一五四號。,本法人宗旨係發揚倫理道德，尊祖敬宗，敦親睦鄰及加強財產管理，        並積極辦理社會公益慈善事業。,由金門縣蔡氏宗親會及宗親捐助。,八十二年一月十八日、金門縣政府、(82)縣民字第01016號,永久存立,1587228,1,0820805,0820805,0820805,,,,,,,,,
082法登000005,1,1,趙家光,17,0820423,0820423,0820427,1冊33頁,,0,董事長,財團法人金門縣朱莊嚴氏基金會,0820423,金門縣金寧鄉安美村西浦頭四十二號莊氏家廟下祖厝。,本法人宗旨係強化財產管理創辦社會各項福利慈善事業。,朱莊嚴宗親會捐助及接受社會各界熱心人士捐助。,八十二年四月二日金門縣政府,永久存立,760500,1,0820427,0820708,0820708,,,,,,,,,
082法登000006,1,1,趙家光,21,0820716,0820716,0820720,1冊41頁,,0,董事長,財團法人福建省金門縣佛教弘法基金會,0820716,太武山海印寺,本佛教大乘教義之精神弘揚真理及辦理社會公益慈善事業,善士自由捐助,八十二年四月二十日金門縣政府,永久,2000000,1,0820812,0820812,0820812,,,,,,,,,
082法登000007,1,1,趙家光,20,0820623,0820623,0820623,1冊39頁,,0,董事長,財團法人金門縣史蹟維護基金會,0820623,金門縣金城鎮珠浦西路八十六巷十號,調查史蹟文物，推展維護教育，培養史蹟解說人才策劃維護工作宏揚        鄉土文化。,樂捐,八十二年五月三日金門縣政府,永久,100000,1,0820708,0820708,0820708,,,,,,,,,
082法登000009,2,1,蔡正廷,25,0820907,0820907,0820911,1冊49頁,,0,理事長,社團法人金門縣翁氏宗親會,0820907,金門縣金寧鄉盤山村翁氏家廟,為加強宗親關係、發揚固有文化、提倡敦親睦族、達到互助互愛、患        難扶助、促進族人聯誼團結與宗親福祉、培養民族意識與國家觀念為        宗旨。,會友自由捐獻、產物所得。,八十二年六月四日金門縣政府,永久,470500,1,0830310,0830310,0830310,,,,,,,,,
082法登000010,1,2,趙家光,12,0820818,0820818,0781129,1冊7頁,2,2,董事長,財團法人金門縣忠義廟基金會,0801102,金門縣金湖鎮新市里林森路六號。,捐獻籌建忠義廟藉以規過勸善、發揚忠孝節義並協助政府推行政令、        舉辦社會福利慈善事業為宗旨。,捐獻。,七十八年九月二十九日金門縣政府,永久,2121001,1,0820906,0820901,0820901,,,,,,,,,
082法登000011,1,1,趙家光,24,0820831,0820831,0820902,1冊47頁,,0,董事長,財團法人金門縣成功陳氏宗親基金會,0820831,金門縣金湖鎮成功村陳氏南方祠堂,以促進宗親團結、崇揚祖德、推展公益與慈善事業,宗親會捐助及樂捐,八十二年七月二十日金門縣政府,永久存立,0,1,0821108,0821108,,,,,,,,,,
082法登000012,1,1,蔡正廷,23,0820805,0820805,0820830,1冊45頁,,0,董事長,財團法人福建省金門縣濟世慈善基金會,0820805,金門縣金城鎮中興路一七三巷二十四號,為改善社會善良風氣、舉辦社會福利慈善事業,自由樂捐,八十二年七月九日金門縣政府,永久,300000,1,0821008,0821008,0821008,,,,,,,,,
082法登000013,1,1,蔡正廷,22,0820806,0820823,0820824,1冊43頁,,0,陳世川,財團法人金門縣前水頭金水寺公益慈善基金會,0820823,金門縣金城鎮前水頭一三八號,宣揚佛教、道教教義，以淨化人心，並倡導忠義之風，推展祥和之氣        ，舉辦公益事業，增進社會福址，協助地方建設，提昇生活品質,由金水寺及其管理委員會等捐助,金門縣政府、縣民字第一五三二六號,永久存在,1274316,1,0821126,0821126,,,,,,,,,,
082法登000014,2,1,張崇哲,26,0821206,0821206,0821210,1冊51頁,,0,董事長,社團法人金門縣烈嶼鄉青岐洪氏家廟慈善會,0821206,金門縣烈嶼鄉青岐洪氏家廟,敦睦鄉親情誼，發揮互助合作之精神，進而改良民俗，辦理宗親急難        扶助及社會公益事業,會員及宗親捐助、產物所得,八十二年八月二十四日金門縣政府,永久存在,2350000,1,0830630,0830630,0830630,,,,,,,,,
082法登000016,2,1,蔡正廷,27,0821231,0821231,0830107,1冊53頁,,0,理事長,社團法人金門縣古寧頭南山李張氏宗親會,0821231,金門縣金寧鄉古寧頭南山保靈殿,舉辦公益事業，增進社會福祉，協助本村民房整修，獎助本村子弟升        學，培植優秀人才，其他有關本會依法可興辦之事業。,基金來源由南山籍子弟在海外、台灣、金門李、張氏宗親等捐助。,八十二年十一月二十二日金門縣政府,永久,1095750,1,0830204,0830204,0830204,,,,,,,,,
