登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因 
048法登000020,1,1,許金樹,20,0480604,0480604,0480604,2冊14頁,,0,董事長,財團法人大尖山資學社,0480604,水林鄉大山村大尖山三二五號,資助大山村清寒優秀學生求學,地方人士捐助,四十八年四月十六日,無定期,15624,1,0480604,0921231,,,,,,,,,,
049法登000024,1,1,許金樹,24,0490223,0490223,0490223,2冊16頁,,0,董事長,財團法人雲林縣廖元子公育英會,0490223,雲林縣西螺鎮福田里一七０號,舉辦地方公益事業，聯絡各地宗親情誼,元子公財產收益及會員入會費樂捐等,民國四十九年二月十八日(原嘉義地方法院),無期限,475900,1,0490223,0921231,,,,,,,,,,
050法登000013,1,1,許金樹,13,0500315,0500315,0500315,2冊7頁,,0,董事長,財團法人斗六基督教浸信會,0500315,雲林縣斗六鎮和平路三十二號,宣揚耶蘇基督為世人救主教人認識並信仰真神,由基督教浸信會宣道會捐贈及全體教友樂意奉獻,五十年二月十日(原登記臺灣嘉義地方法院50年法字第7號),,91800,1,0500315,0921231,,,,,,,,,,
050法登000054,1,1,許金樹,54,0500210,0500210,0500210,2冊20頁,,0,董事長,財團法人雲林縣私立同仁救濟院,0500210,雲林縣林內鄉林茂村乾溪子三十二號,收容救濟無依貪民施以習藝並發展社會救濟事業為宗旨,中華民國紅十字會雲林縣支會等捐助,雲林縣政府44年2月12日雲府民社字第3538號(原嘉義地方法院),無限期,787824,1,0500210,0921231,,,,,,,,,,
051法登000016,1,1,許金樹,16,0511128,0511128,0511128,2冊10頁,,0,董事長,財團法人雲林縣私立永年初級中學董事會,0511128,雲林縣土庫鎮過港里六十九號,供應永年中學舉辦各項教育事業所需一切設備及經費,由羅馬教廷補助不敷之數由董事長捐贈,五十年七月十七日(原登記為臺灣嘉義地方法院),無限期,3058756,1,0511128,0921231,,,,,,,,,,
053法登000001,1,1,許金樹,1,0530818,0530818,0530818,1冊1頁,,0,董事長,財團法人廖裕紛獎學金董事會,0530818,雲林縣二崙鄉庄西村公館六號,一、供應雲林縣優秀學生獎學金所需之一切設備及經費。                  二、供應舉辦學校教育文化等事業所需之一切設備及經費。,由首任董事長廖裕紛捐贈,五十三年八月十一日,無限期,1000000,1,0530818,0921231,,,,,,,,,,
053法登000002,1,1,許金樹,2,0531104,0531104,0531104,1冊2頁,,0,董事長,財團法人臺灣省雲林縣斗六鎮真一堂董監事會,0531104,雲林縣斗六鎮鎮北里瓦  路一四號,宣揚佛教辦理育嬰及其他公益慈善事業,樂嬌等四人捐助,五十二年八月十二日(原嘉義地方法院登記第三十一號),,549870,1,0531104,0921231,,,,,,,,,,
054法登000003,1,1,許金樹,3,0540528,0540528,0540528,1冊3頁,,0,董事長,財團法人天主教會嘉義教區,0540528,雲林縣斗六鎮中華路一０九號,以宣揚天主教教義及辦理社會教育並促進慈善事業為目的,所有財產任由天主教會臺灣教區與財團法人聖徒會移交及董事涂敏正捐助,臺灣省政府，45、03、15，(45)府民一字第27026號通知照准(原在嘉義地方法院登記第五號),,2400000,1,0540528,0921231,,,,,,,,,,
054法登000004,1,1,許金樹,4,0541015,0541015,0541015,1冊4頁,,0,董事長,財團法人雲林縣私立正心初級中學董事會,0541015,雲林縣斗六鎮中華路一０九號,為供應正心初級中學舉辦各項教育事業所需之一切設備及經費,羅馬教廷補助不敷之數由董事長捐贈,五十一年三月三十日(原在嘉義地方法院登記第二十三號),無限期,2300000,1,0541015,0921231,,,,,,,,,,
054法登000005,1,1,許金樹,5,0541015,0541015,0541015,1冊5頁,,0,董事長,財團法人臺灣省雲林縣西螺鎮福善寺,0541015,雲林縣西螺鎮中和里大橋路十一號福善寺內,一、宣揚佛教教義，擴充佛教基礎，廣佈善導濟世救眾。                  二、育英事業及其他公益慈善事業。,由原福善寺管理委員會名義捐助,雲林縣政府，54、07、10，雲府民行字33675號函,,118839,1,0541015,0921231,,,,,,,,,,
