登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因 
050登000001,2,1,沙宗棠,1,0500404,0500410,0500411,1冊1頁,,,理事長,社團法人澎湖縣民眾服務社,0500410,澎湖縣民眾服務社：澎湖縣馬公鎮重慶里中興路6號。,為推行民眾服務，改善民生，增進社會福利，促進地方建設繁榮而聲請。,一、社員會費。
二、補助費。
三、自由捐。,中華民國五十年三月二十七日。,無限期,21530,1,0500410,0980316,,,,,,,,,,
054法登社000001,2,1,呂仲陸,2,0540513,0540611,0540611,1冊2頁,,0,王可敏,社團法人澎湖縣福建同鄉會,0540611,澎湖縣馬公市中華路四十九之二號,聯絡同鄉情誼，發揮互助互愛精神，協助政府推進地方建設事業，並謀同鄉福利。,一、會員所繳納會費。二、向同鄉捐助。三、其他收益。,四十四年九月一日,永久,13894,1,0901119,0980316,,,,,,,,,,
058法登000001,1,1,賴俊雄,3,0581213,0590107,0590108,1冊1頁,,0,董事長,財團法人台灣省澎湖縣馬公基督教國語禮拜堂,0590107,澎湖縣馬公鎮新生路四號三樓,為管理馬公國語禮拜堂所有一切財產，使信徒獲得靈修及廣傳福音。,捐助,五十八年十二月六日澎湖縣政府,永久,221190,1,0590107,0980316,,,,,,,,,,
059法登000001,1,2,陳紹淓,3,0590428,0590428,0590429,1冊1頁,1,0,董事長,財團法人台灣省澎湖縣馬公基督教國語禮拜堂,0590107,澎湖縣馬公鎮新生路四號三樓,為管理馬公國語禮拜堂所有一切財產，使信徒獲得靈修及廣傳福音。,捐助,五十九年四月十八日澎湖縣政府,永久,221190,1,0590428,0980316,,,,,,,,,,
059法登000003,1,2,陳紹淓,3,0590624,0590624,0590626,1冊1頁,1,0,董事長,財團法人台灣省澎湖縣馬公基督教會國語禮拜堂,0590107,澎湖縣馬公鎮新生路四號三樓,為管理馬公國語禮拜堂所有一切財產，使信徒獲得靈修及廣傳福音。,捐助,五十九年四月十八日澎湖縣政府,永久,221190,1,0590624,0980316,,,,,,,,,,
061法登000001,1,2,陳學勤,3,0610614,0610614,0610619,1冊2頁,2,2,董事長,財團法人台灣省澎湖縣馬公基督教會國語禮拜堂,0590107,澎湖縣馬公鎮新生路四號三樓,為管理馬公國語禮拜堂所有一切財產，使信徒獲得靈修及廣傳福音。,捐助,五十九年四月十八日澎湖縣政府,永久,221190,1,0610614,0980316,,,,,,,,,,
061登法人000002,1,1,呂仲陸,4,0610630,0610711,0610712,1冊3頁,,,董事長,財團法人澎湖縣觀光協會,0610711,澎湖縣馬公鎮重慶街28號,促進澎湖縣觀光事業。,捐助。,澎湖縣政府61年6月23日澎府武建丙字第17387號函准。,永久,90000,1,0610711,0980316,,,,,,,,,,
064法登000001,1,1,江泰章,5,0640225,0640226,0640228,1冊5頁,,,主任委員,財團法人台灣更生保護會澎湖區分會,0640226,澎湖縣馬公鎮新生路106號,輔導受保護人就業、就學，自立更生，防止再犯，安定社會秩序。,總會補助及地方捐助。,前台灣省司法保護會（現改組為台灣更生保護會）四十六年四月六日。,無限期,78421,1,0640226,0980316,,,,,,,,,,
064法登000002,1,1,江泰章,6,0640320,0640320,0640320,1冊7頁,,,董事長,財團法人澎湖縣馬公鎮鎖港里北極殿暨坤元寺廟會,0640320,澎湖縣馬公鎮鎖港里北極殿（鎖港里73號）,在鎖港里傳布道教教義，辦理社會救濟、教育事業、造福地方並加速本里之地方建設。,由信徒捐獻。,澎湖縣政府64.3.13澎府德民行字第05940號函許可。,無限期。,99300,1,0640320,0980316,,,,,,,,,,
065法登000001,1,2,陳春男,3,0650609,0650609,0650611,1冊9頁,2,2,董事長,財團法人台灣省澎湖縣馬公基督教會國語禮拜堂,0590107,澎湖縣馬公鎮新生路四號三樓,為管理馬公國語禮拜堂所有一切財產，使信徒獲得靈修及廣傳福音。,捐助,五十九年四月十八日澎湖縣政府,永久,221190,1,0650609,0980316,,,,,,,,,,
066登法人000001,1,2,李春榮,6,0660120,0660120,0660127,1冊7頁,1,8,董事長,財團法人澎湖縣馬公鎮鎖港里北極殿及坤元寺廟會,0640320,澎湖縣馬公鎮鎖港里北極殿,本法人宗旨在團結信徒，傳佈教義，並推展宗教、教育、公共福利事業。,自由捐助,澎湖縣政府64年3月13日澎府德民行字第0594號函許可設立。,無限期,99300,1,0660127,0980316,,,,,,修改捐助章程。,,,,
066登法人000002,1,1,呂仲陸,7,0660422,0660423,0660425,1冊11頁,,,白正龍,財團法人天主教澎湖教區,0660423,澎湖縣馬公市光復路四八號,辦理宗教、慈善、教育、社會福利等事業。,自由捐助。,澎湖縣政府六十六年二月九日六六府民行字第０二九七九號函。,無限期,18297938,1,0660423,0980316,,,,,,,,,,
066登法人000003,1,3,李春榮,5,0660113,0660427,0660428,1冊5頁,1,,主任委員,財團法人台灣更生保護會澎湖區分會,0640226,澎湖縣馬公鎮新生路106號,輔導受保護人就業、就學，自立更生，防止再犯，安定社會秩序。,總會補助及地方勸募事務費撙節合成。,前台灣省司法保護會（現改組為台灣更生保護會）四十六年四月六日。,無限期,78421,1,0660427,0980316,,,,,,依據更生保護法第四條及其施行細則第三十五條第二項以及台灣更生保護會65.11.22（65）台更保本字第009號函示辦理。,,,,
067法登000001,1,1,林富村,8,0670710,0670717,0670717,1冊13頁,,,董事長,財團法人臺灣省澎湖縣馬公教會,0670717,澎湖縣馬公鎮樹德路26號,本會以管理、運用所屬一切財產、促進信徒健全信仰、宣揚基督引人歸主，並舉辦公益、慈善及教育事業為宗旨。,創始人張品清先生捐助。,澎湖縣政府中華民國67年6月27日六七府民行字第17211號,永久,223712,1,0670717,0980316,,,,,,,,,,
069法登他000011,1,1,林堭儀,9,0690827,0690827,0690828,1冊17頁,,0,陳寶梅,財團法人澎湖縣後備軍人獎學基金會,0690827,澎湖縣團管區司令部,獎助努力向學之優秀而家境貧困之後備軍人子女,策動地方人士及全體後備軍人捐獻籌集,澎湖縣政府中華民國六十九年柒月貳拾參日,無限期,882960,1,0690827,0980316,,,,,,,,,,
071法登000012,1,1,范仁勳,10,0710716,0710716,0710719,1冊19頁,,,董事長,財團法人澎湖縣馬公市薓裡里林燕力行獎學基金會,0710716,澎湖縣馬公市薓裡里53-3號,獎助本里（薓裡里）努力向學之優秀學生。,策動地方人士捐獻籌集,澎湖縣政府七十一年六月九日七一澎府教國字第15848號函,常年,364000,1,0710716,0980316,,,,,,,,,,
072法登000001,1,2,林國一,4,0720622,0720622,0720624,1冊21頁,1,,董事長,財團法人澎湖縣觀光協會,0610711,澎湖縣馬公市中華路195號4樓,促進澎湖縣觀光事業。,由公私機構及社會熱心人士依章程捐助之。,澎湖縣政府61年6月23日澎府武建丙字第17387號函准。,永久,50000,1,0720622,0980316,,,,,,一、修改章程第十條、第十八及十九條條文。
二、改聘董監事如附件一。,,,,
