登記案號,序號,分事務所地址
104法登他000010,1,臺北市羅斯福路6段110號1樓
104法登他000016,1,新北市永和區永平路51號4樓（台灣基督教會－永和）
104法登他000016,3,台中市南屯區南屯路二段960－2號（來吧基督教會）
104法登他000016,4,高雄市三民區信國路4號（高雄福音基督教會）
104法登他000016,7,高雄市仁武區永仁街326號（永光基督教福音中心）
104法登他000016,9,宜蘭縣羅東鎮四育路48號3樓（羅東佳音基督教會）
104法登他000016,11,台中市北屯區崇德十路二段336號（台中國際社區教會）
104法登他000016,13,高雄市三民區民壯路43號（真葡萄樹基督教會）
104法登他000074,1,臺中市南屯區黎明東街503號3樓
104法登他000074,2,南投縣埔里鎮仁愛路495號
104法登他000088,1,宜蘭分事務所：宜蘭縣宜蘭市自強新路171號
104法登他000098,1,高雄市新興區中山二路472號7樓
104法登他000100,1,宜蘭分事務所：宜蘭縣宜蘭市舊城西路12號2樓
104法登財000008,1,臺北市中正區同安街41號
