登記案號,序號,分事務所地址
113法登他000019,1,花蓮市中央路3段707號(花蓮慈濟醫院遺傳諮詢學會)
113法登他000034,1,台北市中山區龍江路76巷31號6樓
113法登他000055,2,台中市西區自由路1段140號4樓
113法登他000055,3,高雄市前金區中正四路211號
113法登他000055,4,台南市中西區府前路1段155號之1
113法登他000055,5,桃園市桃園區中正路48巷2號
113法登他000055,9,新竹市林森路29號4樓
113法登他000055,12,嘉義市中山路306號5樓
113法登他000055,13,花蓮縣花蓮市公園路3號3樓
113法登他000055,14,台東縣台東市中華路1段373號3樓
113法登他000055,15,澎湖縣馬公市仁愛路24號2樓
113法登他000060,1,花蓮市國盛二街103號9樓之2
113法登他000068,1,花蓮縣新城鄉新城村仁愛路17-2號
113法登他000088,1,花蓮市建華路65巷7號
113法登他000100,2,聖靈重建教會台南教會設於台南市永康區中山北路70號8樓之2
113法登他000100,3,聖靈重建教會台中教會設於台中市美德街170之6號
113法登他000100,4,聖靈重建教會花蓮教會設於花蓮市民權八街60號5樓
